GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CBH001
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,,,,,"Autauga",50958750
"G0100030","1970","Alabama","01","Baldwin","003",,,,,,"5160",,,,,,,"Baldwin",137579750
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,,,,,"Barbour",36382250
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,,,,,"Bibb",14806500
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,,,,,"Blount",31124750
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,,,,,"Bullock",11000250
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,,,,,"Butler",25708000
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,,,,,"Calhoun",209556750
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,,,,,"Chambers",67190750
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,,,,,"Cherokee",21695500
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,,,,,"Chilton",32622750
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,,,,,"Choctaw",21162250
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,,,,,"Clarke",42464250
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,,,,,"Clay",12778250
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,,,,,"Cleburne",12651000
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,,,,,"Coffee",71175750
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,,,,,"Colbert",124161500
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,,,,,"Conecuh",15761750
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,,,,,"Coosa",10336500
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,,,,,"Covington",56010000
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"Crenshaw",12525000
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,,,,,"Cullman",76103000
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,,,,,"Dale",66208750
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,,,,,"Dallas",82133250
"G0100490","1970","Alabama","01","DeKalb","049",,,,,,,,,,,,,"De Kalb",52807750
"G0100510","1970","Alabama","01","Elmore","051",,,,,,"5240",,,,,,,"Elmore",62241250
"G0100530","1970","Alabama","01","Escambia","053",,,,,,,,,,,,,"Escambia",59741250
"G0100550","1970","Alabama","01","Etowah","055",,,,,,"2880",,,,,,,"Etowah",225609750
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,,,,,"Fayette",21853000
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,,,,,"Franklin",35906250
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,,,,,"Geneva",32724250
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,,,,,"Greene",10627000
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,,,,,"Hale",14898500
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,,,,,"Henry",19908500
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,,,,,"Houston",142213250
"G0100710","1970","Alabama","01","Jackson","071",,,,,,,,,,,,,"Jackson",54249000
"G0100730","1970","Alabama","01","Jefferson","073",,,,,,"1000",,,,,,,"Jefferson",1998889750
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,,,,,"Lamar",16897500
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,,,,,"Lauderdale",181318750
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,,,,,,,"Lawrence",32103500
"G0100810","1970","Alabama","01","Lee","081",,,,,,,,,,,,,"Lee",119064750
