GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,C19001
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,"Autauga",2589200
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,,,"Baldwin",9502550
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,"Barbour",2950600
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,"Bibb",1224850
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,"Blount",2367900
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,"Bullock",1466450
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,"Butler",2387600
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,"Calhoun",24508550
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,"Chambers",4624400
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,"Cherokee",1389050
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,"Chilton",3794200
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,"Choctaw",1587450
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,"Clarke",2867900
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,"Clay",1175050
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,"Cleburne",938800
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,"Coffee",4877000
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,"Colbert",6042300
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,"Conecuh",1971800
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,"Coosa",945300
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,"Covington",4390550
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,"Crenshaw",1251850
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,"Cullman",6125750
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,"Dale",28987650
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,"Dallas",10097750
"G0100490","1970","Alabama","01","DeKalb","049",,,,,"5160",,,,"De Kalb",3920650
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,,,"Elmore",4460100
"G0100530","1970","Alabama","01","Escambia","053",,,,,"5240",,,,"Escambia",4668650
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,,,"Etowah",14408650
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,"Fayette",1497400
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,"Franklin",2311300
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,"Geneva",2643700
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,"Greene",1106050
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,"Hale",1312000
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,"Henry",1018150
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,"Houston",8765900
"G0100710","1970","Alabama","01","Jackson","071",,,,,"2880",,,,"Jackson",3591050
"G0100730","1970","Alabama","01","Jefferson","073",,,,,"1000",,,,"Jefferson",165908600
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,"Lamar",1430350
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,"Lauderdale",10459350
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,,,"Lawrence",1853900
"G0100810","1970","Alabama","01","Lee","081",,,,,"1000",,,,"Lee",17138150
"G0100830","1970","Alabama","01","Limestone","083",,,,,"3440",,,,"Limestone",4455950
"G0100850","1970","Alabama","01","Lowndes","085",,,,,,,,,"Lowndes",980450
"G0100870","1970","Alabama","01","Macon","087",,,,,,,,,"Macon",6953800
"G0100890","1970","Alabama","01","Madison","089",,,,,"3440",,,,"Madison",48404350
"G0100910","1970","Alabama","01","Marengo","091",,,,,,,,,"Marengo",2657500
"G0100930","1970","Alabama","01","Marion","093",,,,,,,,,"Marion",1996500
"G0100950","1970","Alabama","01","Marshall","095",,,,,"3440",,,,"Marshall",6274550
"G0100970","1970","Alabama","01","Mobile","097",,,,,"5160",,,,"Mobile",63976100
"G0100990","1970","Alabama","01","Monroe","099",,,,,"5160",,,,"Monroe",1819800
"G0101010","1970","Alabama","01","Montgomery","101",,,,,"5240",,,,"Montgomery",46190550
"G0101030","1970","Alabama","01","Morgan","103",,,,,,,,,"Morgan",10786050
"G0101050","1970","Alabama","01","Perry","105",,,,,,,,,"Perry",2278300
"G0101070","1970","Alabama","01","Pickens","107",,,,,,,,,"Pickens",1822150
"G0101090","1970","Alabama","01","Pike","109",,,,,,,,,"Pike",4828200
"G0101110","1970","Alabama","01","Randolph","111",,,,,"5240",,,,"Randolph",2185950
"G0101130","1970","Alabama","01","Russell","113",,,,,"1800",,,,"Russell",5500550
"G0101150","1970","Alabama","01","St Clair","115",,,,,"1800",,,,"St Clair",2252100
"G0101170","1970","Alabama","01","Shelby","117",,,,,"1000",,,,"Shelby",6287450
"G0101190","1970","Alabama","01","Sumter","119",,,,,,,,,"Sumter",3680150
"G0101210","1970","Alabama","01","Talladega","121",,,,,,,,,"Talladega",8803250
"G0101230","1970","Alabama","01","Tallapoosa","123",,,,,"1000",,,,"Tallapoosa",3854450
"G0101250","1970","Alabama","01","Tuscaloosa","125",,,,,"8600",,,,"Tuscaloosa",29115550
"G0101270","1970","Alabama","01","Walker","127",,,,,"1000",,,,"Walker",6070050
"G0101290","1970","Alabama","01","Washington","129",,,,,,,,,"Washington",978050
"G0101310","1970","Alabama","01","Wilcox","131",,,,,,,,,"Wilcox",1489650
"G0101330","1970","Alabama","01","Winston","133",,,,,"1000",,,,"Winston",1547250
"G0200100","1970","Alaska","02","Aleutian Islands","010",,,,,,,,,"Aleutian Islands",16387500
"G0200200","1970","Alaska","02","Anchorage","020",,,,,,,,,"Anchorage",76954350
"G0200300","1970","Alaska","02","Angoon","030",,,,,,,,,"Angoon",51750
"G0200400","1970","Alaska","02","Barrow","040",,,,,,,,,"Barrow",793200
"G0200500","1970","Alaska","02","Bethel","050",,,,,,,,,"Bethel",1798100
"G0200600","1970","Alaska","02","Bristol Bay Borough","060",,,,,,,,,"Bristol Bay Borough",2182000
"G0200700","1970","Alaska","02","Dillingham","070",,,,,,,,,"Bristol Bay Division",864250
"G0200800","1970","Alaska","02","Cordova-McCarthy","080",,,,,,,,,"Cordova-Mc Carthy",1931300
"G0200900","1970","Alaska","02","Fairbanks North Star","090",,,,,,,,,"Fairbanks",42665000
"G0201000","1970","Alaska","02","Haines","100",,,,,,,,,"Haines",293000
"G0201100","1970","Alaska","02","Juneau","110",,,,,,,,,"Juneau",8840100
"G0201200","1970","Alaska","02","Kenai-Cook Inlet","120",,,,,,,,,"Kenai-Cook Inlet",6985750
"G0201300","1970","Alaska","02","Ketchikan Gateway","130",,,,,,,,,"Ketchikan",5530850
"G0201400","1970","Alaska","02","Kobuk","140",,,,,,,,,"Kobuk",938500
"G0201500","1970","Alaska","02","Kodiak Island","150",,,,,,,,,"Kodiak",7557650
"G0201600","1970","Alaska","02","Kuskokwim","160",,,,,,,,,"Kuskokwim",1532400
"G0201700","1970","Alaska","02","Matanuska-Susitna","170",,,,,,,,,"Matanuska-Susitna",2342400
"G0201800","1970","Alaska","02","Nome","180",,,,,,,,,"Nome",2015950
