GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALY3E001,ALY3E002,ALY3E003,ALY3E004,ALY3E005,ALY3E006,ALY3E007,NAME_M,ALY3M001,ALY3M002,ALY3M003,ALY3M004,ALY3M005,ALY3M006,ALY3M007
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",43953,25908,25458,24522,936,450,18045,"Autauga County, Alabama",259,671,689,738,246,185,702
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",172297,99495,99317,95091,4226,178,72802,"Baldwin County, Alabama",329,1720,1737,1811,580,100,1783
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",20636,9262,9262,8413,849,0,11374,"Barbour County, Alabama",101,444,444,448,176,22,429
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",18492,9046,9046,8387,659,0,9446,"Bibb County, Alabama",140,567,567,615,248,22,553
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",45907,22715,22680,21917,763,35,23192,"Blount County, Alabama",152,725,724,680,206,37,760
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",8375,4493,4493,4319,174,0,3882,"Bullock County, Alabama",89,526,526,524,142,19,502
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",15853,8520,8509,7930,579,11,7333,"Butler County, Alabama",127,352,352,355,142,14,391
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",92886,52674,52106,47896,4210,568,40212,"Calhoun County, Alabama",256,1027,1010,1016,441,213,1041
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",27403,15499,15487,14877,610,12,11904,"Chambers County, Alabama",106,426,425,457,169,19,426
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",21390,10443,10443,9980,463,0,10947,"Cherokee County, Alabama",136,483,483,503,164,22,514
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",34827,18726,18726,17526,1200,0,16101,"Chilton County, Alabama",173,738,738,716,262,25,729
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",10685,4531,4531,4173,358,0,6154,"Choctaw County, Alabama",80,323,323,314,126,19,345
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",19548,8878,8850,7770,1080,28,10670,"Clarke County, Alabama",80,529,525,485,230,36,531
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",10841,5843,5843,5527,316,0,4998,"Clay County, Alabama",109,322,322,352,151,19,331
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",11942,6088,6068,5707,361,20,5854,"Cleburne County, Alabama",119,356,362,346,144,26,356
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",40755,24317,23241,21907,1334,1076,16438,"Coffee County, Alabama",111,493,587,593,217,238,507
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",44515,23923,23871,22832,1039,52,20592,"Colbert County, Alabama",209,576,578,559,189,46,609
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",10094,4663,4663,4232,431,0,5431,"Conecuh County, Alabama",79,390,390,349,167,19,381
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",9140,4355,4326,4202,124,29,4785,"Coosa County, Alabama",81,343,337,358,67,40,337
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",29973,16199,16174,14822,1352,25,13774,"Covington County, Alabama",110,384,383,449,244,21,401
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",11114,5927,5869,5668,201,58,5187,"Crenshaw County, Alabama",60,262,250,265,78,46,274
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",66350,36078,36063,34228,1835,15,30272,"Cullman County, Alabama",257,890,895,938,330,24,901
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",39177,22104,19554,17994,1560,2550,17073,"Dale County, Alabama",110,678,698,720,278,370,681
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",30693,16142,16129,14347,1782,13,14551,"Dallas County, Alabama",163,564,565,555,289,19,527
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",56091,30888,30858,29639,1219,30,25203,"DeKalb County, Alabama",202,774,775,779,251,38,772
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",65170,36366,35832,34180,1652,534,28804,"Elmore County, Alabama",217,868,867,828,334,163,883
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",29780,14365,14365,12786,1579,0,15415,"Escambia County, Alabama",116,513,513,637,308,25,501
