GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B84AA,B84AB,B84AC,B84AD,B84AE,B84AF,B84AAM,B84ABM,B84ACM,B84ADM,B84AEM,B84AFM
G0100010,1970,Alabama,1,10,Autauga County,1,10,Autauga,8692,352,8340,8118,222,6655,,,,,,
G0100030,1970,Alabama,1,10,Baldwin County,3,30,Baldwin,21517,123,21394,20469,925,18351,,,,,,
G0100050,1970,Alabama,1,10,Barbour County,5,50,Barbour,8208,25,8183,7893,290,7004,,,,,,
G0100070,1970,Alabama,1,10,Bibb County,7,70,Bibb,4658,4,4654,4364,290,4473,,,,,,
G0100090,1970,Alabama,1,10,Blount County,9,90,Blount,9563,5,9558,9157,401,9242,,,,,,
G0100110,1970,Alabama,1,10,Bullock County,11,110,Bullock,3685,0,3685,3466,219,3783,,,,,,
G0100130,1970,Alabama,1,10,Butler County,13,130,Butler,8045,0,8045,7738,307,6980,,,,,,
G0100150,1970,Alabama,1,10,Calhoun County,15,150,Calhoun,41483,4756,36727,35154,1573,30467,,,,,,
G0100170,1970,Alabama,1,10,Chambers County,17,170,Chambers,15253,13,15240,14848,392,9842,,,,,,
G0100190,1970,Alabama,1,10,Cherokee County,19,190,Cherokee,5952,17,5935,5566,369,5040,,,,,,
G0100210,1970,Alabama,1,10,Chilton County,21,210,Chilton,8601,18,8583,8130,453,8912,,,,,,
G0100230,1970,Alabama,1,10,Choctaw County,23,230,Choctaw,4902,7,4895,4671,224,5842,,,,,,
G0100250,1970,Alabama,1,10,Clarke County,25,250,Clarke,8650,26,8624,8349,275,8483,,,,,,
G0100270,1970,Alabama,1,10,Clay County,27,270,Clay,4677,0,4677,4529,148,4131,,,,,,
G0100290,1970,Alabama,1,10,Cleburne County,29,290,Cleburne,4216,17,4199,4132,67,3420,,,,,,
G0100310,1970,Alabama,1,10,Coffee County,31,310,Coffee,13781,1076,12705,12218,487,9889,,,,,,
G0100330,1970,Alabama,1,10,Colbert County,33,330,Colbert,17553,38,17515,16319,1196,16017,,,,,,
G0100350,1970,Alabama,1,10,Conecuh County,35,350,Conecuh,5296,9,5287,4869,418,5200,,,,,,
G0100370,1970,Alabama,1,10,Coosa County,37,370,Coosa,3969,0,3969,3766,203,3316,,,,,,
G0100390,1970,Alabama,1,10,Covington County,39,390,Covington,13506,66,13440,13082,358,10633,,,,,,
G0100410,1970,Alabama,1,10,Crenshaw County,41,410,Crenshaw,4677,18,4659,4506,153,4660,,,,,,
G0100430,1970,Alabama,1,10,Cullman County,43,430,Cullman,19415,6,19409,18699,710,17295,,,,,,
G0100450,1970,Alabama,1,10,Dale County,45,450,Dale,24442,13237,11205,10780,425,12876,,,,,,
G0100470,1970,Alabama,1,10,Dallas County,47,470,Dallas,19416,1952,17464,16652,812,16015,,,,,,
G0100490,1970,Alabama,1,10,DeKalb County,49,490,De Kalb,14547,14,14533,14060,473,15049,,,,,,
G0100510,1970,Alabama,1,10,Elmore County,51,510,Elmore,12132,51,12081,11697,384,10695,,,,,,
