GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,AL1HE001,NAME_M,AL1HM001
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",154500,"Autauga County, Alabama",6544
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",197900,"Baldwin County, Alabama",4048
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",90700,"Barbour County, Alabama",6502
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",92800,"Bibb County, Alabama",12675
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",127800,"Blount County, Alabama",6694
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",70300,"Bullock County, Alabama",12983
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",95900,"Butler County, Alabama",8498
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",118000,"Calhoun County, Alabama",2973
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",97100,"Chambers County, Alabama",7139
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",123400,"Cherokee County, Alabama",9523
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",107300,"Chilton County, Alabama",7217
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",74100,"Choctaw County, Alabama",5109
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",112500,"Clarke County, Alabama",11728
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",107800,"Clay County, Alabama",10339
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",116500,"Cleburne County, Alabama",8285
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",147400,"Coffee County, Alabama",6917
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",120800,"Colbert County, Alabama",6347
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",81000,"Conecuh County, Alabama",6746
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",84000,"Coosa County, Alabama",10342
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",97600,"Covington County, Alabama",4723
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",81000,"Crenshaw County, Alabama",4430
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",128600,"Cullman County, Alabama",5396
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",112000,"Dale County, Alabama",4719
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",83300,"Dallas County, Alabama",4393
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",106100,"DeKalb County, Alabama",4355
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",166600,"Elmore County, Alabama",4975
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",99400,"Escambia County, Alabama",5332
