GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C8J001
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,,"AUTAUGA COUNTY",37200
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,,"BALDWIN COUNTY",41100
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,,"BARBOUR COUNTY",23800
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,,"BIBB COUNTY",22500
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,,"BLOUNT COUNTY",30200
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,,"BULLOCK COUNTY",19700
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,,"BUTLER COUNTY",20500
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,,"CALHOUN COUNTY",31500
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,,"CHAMBERS COUNTY",24300
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,,"CHEROKEE COUNTY",27500
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,,"CHILTON COUNTY",27700
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,,"CHOCTAW COUNTY",21400
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,,"CLARKE COUNTY",24500
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,,"CLAY COUNTY",23000
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,,"CLEBURNE COUNTY",25100
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,,"COFFEE COUNTY",33500
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,,"COLBERT COUNTY",32700
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,,"CONECUH COUNTY",18600
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,,"COOSA COUNTY",21000
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,,"COVINGTON COUNTY",22200
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,,"CRENSHAW COUNTY",18600
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,,"CULLMAN COUNTY",31600
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,,"DALE COUNTY",31900
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,,"DALLAS COUNTY",29000
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,,"DE KALB COUNTY",26200
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,,"ELMORE COUNTY",36100
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,,"ESCAMBIA COUNTY",25500
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,,"ETOWAH COUNTY",28900
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,,"FAYETTE COUNTY",24600
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,,"FRANKLIN COUNTY",27600
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,,"GENEVA COUNTY",22400
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,,"GREENE COUNTY",22200
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,,"HALE COUNTY",21200
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,,"HENRY COUNTY",26100
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,,,"HOUSTON COUNTY",33000
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,,,"JACKSON COUNTY",29700
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,,,"JEFFERSON COUNTY",39600
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,,,"LAMAR COUNTY",25600
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,,,"LAUDERDALE COUNTY",38200
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,,,"LAWRENCE COUNTY",28400
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,,,"LEE COUNTY",39300
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,,,"LIMESTONE COUNTY",30300
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,,,"LOWNDES COUNTY",19700
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,,,"MACON COUNTY",27800
"G0100890","1980","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,,,"MADISON COUNTY",42600
"G0100910","1980","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,,,"MARENGO COUNTY",26200
