GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,EST001
"G0100010","1990",,,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,"Autauga County",59200
"G0100030","1990",,,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,"Baldwin County",64200
"G0100050","1990",,,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,"Barbour County",41400
"G0100070","1990",,,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,"Bibb County",39500
"G0100090","1990",,,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,"Blount County",46500
"G0100110","1990",,,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,"Bullock County",32300
"G0100130","1990",,,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,"Butler County",34000
"G0100150","1990",,,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,"Calhoun County",51600
"G0100170","1990",,,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,"Chambers County",37900
"G0100190","1990",,,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,"Cherokee County",44700
"G0100210","1990",,,,,,,,,,,"Chilton","021",,"6","9999",,"9999","3","Alabama","01",,,,"Chilton County",42800
"G0100230","1990",,,,,,,,,,,"Choctaw","023",,"6","9999",,"9999","3","Alabama","01",,,,"Choctaw County",37200
"G0100250","1990",,,,,,,,,,,"Clarke","025",,"6","9999",,"9999","3","Alabama","01",,,,"Clarke County",40300
"G0100270","1990",,,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Alabama","01",,,,"Clay County",35500
"G0100290","1990",,,,,,,,,,,"Cleburne","029",,"6","9999",,"9999","3","Alabama","01",,,,"Cleburne County",42600
"G0100310","1990",,,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Alabama","01",,,,"Coffee County",53300
"G0100330","1990",,,,,,,,,,,"Colbert","033",,"6","2650",,"9999","3","Alabama","01",,,,"Colbert County",46300
"G0100350","1990",,,,,,,,,,,"Conecuh","035",,"6","9999",,"9999","3","Alabama","01",,,,"Conecuh County",33300
"G0100370","1990",,,,,,,,,,,"Coosa","037",,"6","9999",,"9999","3","Alabama","01",,,,"Coosa County",35600
"G0100390","1990",,,,,,,,,,,"Covington","039",,"6","9999",,"9999","3","Alabama","01",,,,"Covington County",34800
"G0100410","1990",,,,,,,,,,,"Crenshaw","041",,"6","9999",,"9999","3","Alabama","01",,,,"Crenshaw County",31200
"G0100430","1990",,,,,,,,,,,"Cullman","043",,"6","9999",,"9999","3","Alabama","01",,,,"Cullman County",48100
"G0100450","1990",,,,,,,,,,,"Dale","045",,"6","2180",,"9999","3","Alabama","01",,,,"Dale County",49400
"G0100470","1990",,,,,,,,,,,"Dallas","047",,"6","9999",,"9999","3","Alabama","01",,,,"Dallas County",43800
"G0100490","1990",,,,,,,,,,,"DeKalb","049",,"6","9999",,"9999","3","Alabama","01",,,,"DeKalb County",39700
"G0100510","1990",,,,,,,,,,,"Elmore","051",,"6","5240",,"9999","3","Alabama","01",,,,"Elmore County",58100
"G0100530","1990",,,,,,,,,,,"Escambia","053",,"6","9999",,"9999","3","Alabama","01",,,,"Escambia County",41100
"G0100550","1990",,,,,,,,,,,"Etowah","055",,"6","2880",,"9999","3","Alabama","01",,,,"Etowah County",42700
"G0100570","1990",,,,,,,,,,,"Fayette","057",,"6","9999",,"9999","3","Alabama","01",,,,"Fayette County",36800
"G0100590","1990",,,,,,,,,,,"Franklin","059",,"6","9999",,"9999","3","Alabama","01",,,,"Franklin County",38300
"G0100610","1990",,,,,,,,,,,"Geneva","061",,"6","9999",,"9999","3","Alabama","01",,,,"Geneva County",35800
"G0100630","1990",,,,,,,,,,,"Greene","063",,"6","9999",,"9999","3","Alabama","01",,,,"Greene County",35800
"G0100650","1990",,,,,,,,,,,"Hale","065",,"6","9999",,"9999","3","Alabama","01",,,,"Hale County",34900
"G0100670","1990",,,,,,,,,,,"Henry","067",,"6","9999",,"9999","3","Alabama","01",,,,"Henry County",41300
"G0100690","1990",,,,,,,,,,,"Houston","069",,"6","2180",,"9999","3","Alabama","01",,,,"Houston County",52600
"G0100710","1990",,,,,,,,,,,"Jackson","071",,"6","9999",,"9999","3","Alabama","01",,,,"Jackson County",43200
"G0100730","1990",,,,,,,,,,,"Jefferson","073",,"6","1000",,"9999","3","Alabama","01",,,,"Jefferson County",58700
"G0100750","1990",,,,,,,,,,,"Lamar","075",,"6","9999",,"9999","3","Alabama","01",,,,"Lamar County",38900
"G0100770","1990",,,,,,,,,,,"Lauderdale","077",,"6","2650",,"9999","3","Alabama","01",,,,"Lauderdale County",52700
"G0100790","1990",,,,,,,,,,,"Lawrence","079",,"6","2030",,"9999","3","Alabama","01",,,,"Lawrence County",44300
"G0100810","1990",,,,,,,,,,,"Lee","081",,"6","9999",,"9999","3","Alabama","01",,,,"Lee County",64900
"G0100830","1990",,,,,,,,,,,"Limestone","083",,"6","9999",,"9999","3","Alabama","01",,,,"Limestone County",56300
"G0100850","1990",,,,,,,,,,,"Lowndes","085",,"6","9999",,"9999","3","Alabama","01",,,,"Lowndes County",34800
"G0100870","1990",,,,,,,,,,,"Macon","087",,"6","9999",,"9999","3","Alabama","01",,,,"Macon County",43400
"G0100890","1990",,,,,,,,,,,"Madison","089",,"6","3440",,"9999","3","Alabama","01",,,,"Madison County",77900
"G0100910","1990",,,,,,,,,,,"Marengo","091",,"6","9999",,"9999","3","Alabama","01",,,,"Marengo County",41800
"G0100930","1990",,,,,,,,,,,"Marion","093",,"6","9999",,"9999","3","Alabama","01",,,,"Marion County",38300
"G0100950","1990",,,,,,,,,,,"Marshall","095",,"6","9999",,"9999","3","Alabama","01",,,,"Marshall County",48100
"G0100970","1990",,,,,,,,,,,"Mobile","097",,"6","5160",,"9999","3","Alabama","01",,,,"Mobile County",53300
"G0100990","1990",,,,,,,,,,,"Monroe","099",,"6","9999",,"9999","3","Alabama","01",,,,"Monroe County",43200
"G0101010","1990",,,,,,,,,,,"Montgomery","101",,"6","5240",,"9999","3","Alabama","01",,,,"Montgomery County",62600
"G0101030","1990",,,,,,,,,,,"Morgan","103",,"6","2030",,"9999","3","Alabama","01",,,,"Morgan County",60900
"G0101050","1990",,,,,,,,,,,"Perry","105",,"6","9999",,"9999","3","Alabama","01",,,,"Perry County",31600
"G0101070","1990",,,,,,,,,,,"Pickens","107",,"6","9999",,"9999","3","Alabama","01",,,,"Pickens County",38000
"G0101090","1990",,,,,,,,,,,"Pike","109",,"6","9999",,"9999","3","Alabama","01",,,,"Pike County",43500
"G0101110","1990",,,,,,,,,,,"Randolph","111",,"6","9999",,"9999","3","Alabama","01",,,,"Randolph County",36500
"G0101130","1990",,,,,,,,,,,"Russell","113",,"6","1800",,"9999","3","Alabama","01",,,,"Russell County",46200
"G0101150","1990",,,,,,,,,,,"St Clair","115",,"6","1000",,"9999","3","Alabama","01",,,,"St. Clair County",53400
"G0101170","1990",,,,,,,,,,,"Shelby","117",,"6","1000",,"9999","3","Alabama","01",,,,"Shelby County",88300
"G0101190","1990",,,,,,,,,,,"Sumter","119",,"6","9999",,"9999","3","Alabama","01",,,,"Sumter County",34700
"G0101210","1990",,,,,,,,,,,"Talladega","121",,"6","9999",,"9999","3","Alabama","01",,,,"Talladega County",44800
"G0101230","1990",,,,,,,,,,,"Tallapoosa","123",,"6","9999",,"9999","3","Alabama","01",,,,"Tallapoosa County",43200
"G0101250","1990",,,,,,,,,,,"Tuscaloosa","125",,"6","8600",,"9999","3","Alabama","01",,,,"Tuscaloosa County",62100
"G0101270","1990",,,,,,,,,,,"Walker","127",,"6","1000",,"9999","3","Alabama","01",,,,"Walker County",42100
"G0101290","1990",,,,,,,,,,,"Washington","129",,"6","9999",,"9999","3","Alabama","01",,,,"Washington County",34300
"G0101310","1990",,,,,,,,,,,"Wilcox","131",,"6","9999",,"9999","3","Alabama","01",,,,"Wilcox County",34000
"G0101330","1990",,,,,,,,,,,"Winston","133",,"6","9999",,"9999","3","Alabama","01",,,,"Winston County",37700
"G0200130","1990",,,,,,,,,,,"Aleutians East","013",,"9","9999",,"9999","4","Alaska","02",,,,"Aleutians East Borough",85700
"G0200160","1990",,,,,,,,,,,"Aleutians West","016",,"9","9999",,"9999","4","Alaska","02",,,,"Aleutians West Census Area",80100
"G0200200","1990",,,,,,,,,,,"Anchorage","020",,"9","0380",,"9999","4","Alaska","02",,,,"Anchorage Borough",109700
"G0200500","1990",,,,,,,,,,,"Bethel","050",,"9","9999",,"9999","4","Alaska","02",,,,"Bethel Census Area",51900
"G0200600","1990",,,,,,,,,,,"Bristol Bay Borough","060",,"9","9999",,"9999","4","Alaska","02",,,,"Bristol Bay Borough",102000
"G0200700","1990",,,,,,,,,,,"Dillingham","070",,"9","9999",,"9999","4","Alaska","02",,,,"Dillingham Census Area",63300
"G0200900","1990",,,,,,,,,,,"Fairbanks North Star","090",,"9","9999",,"9999","4","Alaska","02",,,,"Fairbanks North Star Borough",87300
"G0201000","1990",,,,,,,,,,,"Haines","100",,"9","9999",,"9999","4","Alaska","02",,,,"Haines Borough",81000
"G0201100","1990",,,,,,,,,,,"Juneau","110",,"9","9999",,"9999","4","Alaska","02",,,,"Juneau Borough",113500
"G0201220","1990",,,,,,,,,,,"Kenai Peninsula","122",,"9","9999",,"9999","4","Alaska","02",,,,"Kenai Peninsula Borough",85100
"G0201300","1990",,,,,,,,,,,"Ketchikan Gateway","130",,"9","9999",,"9999","4","Alaska","02",,,,"Ketchikan Gateway Borough",112600
