GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,CG7001,CG7002,CG7003,CG7004,CG7005,CG7006,CG7007,CG7008,CG7009,CG7010,CG7011
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,"Autauga",446,393,266,336,388,468,393,428,233,65,19
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,,,"Baldwin",1745,1450,1208,1343,900,848,612,777,702,286,140
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,"Barbour",730,479,337,362,241,235,145,208,141,62,44
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,"Bibb",682,354,205,197,88,85,51,54,42,5,4
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,"Blount",701,601,420,416,285,204,124,131,89,19,9
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,"Bullock",431,290,129,95,58,57,40,54,24,12,8
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,"Butler",774,498,306,290,148,152,82,116,84,34,20
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,"Calhoun",2596,2819,2465,2201,1566,1532,1094,1178,726,298,162
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,"Chambers",1116,1412,921,788,556,455,290,253,218,78,30
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,"Cherokee",321,342,247,263,169,156,87,122,73,32,11
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,"Chilton",777,702,446,361,261,199,146,144,95,31,9
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,"Choctaw",771,353,230,189,133,126,80,107,78,32,7
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,"Clarke",1021,615,392,398,268,282,199,275,176,53,24
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,"Clay",401,289,164,140,92,57,57,73,35,12,1
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,"Cleburne",283,242,138,151,102,82,42,58,41,15,8
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,"Coffee",820,681,511,544,438,444,417,612,400,113,34
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,"Colbert",811,997,1288,1378,1177,1007,680,716,527,190,55
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,"Conecuh",761,406,191,187,88,109,51,53,26,13,3
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,"Coosa",329,279,171,128,64,63,36,37,23,3,3
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,"Covington",1519,1135,670,574,416,335,230,256,168,71,36
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,"Crenshaw",610,363,180,122,74,46,30,48,22,13,12
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,"Cullman",877,956,866,925,570,625,411,420,272,97,40
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,"Dale",653,531,448,508,461,610,483,532,285,70,32
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,"Dallas",696,750,680,742,578,615,456,512,375,154,86
"G0100490","1970","Alabama","01","DeKalb","049",,,,,,,,,"De Kalb",1328,1000,719,654,378,295,180,255,152,59,25
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,,,"Elmore",696,649,516,541,445,393,337,379,319,118,29
"G0100530","1970","Alabama","01","Escambia","053",,,,,,,,,"Escambia",1319,949,671,726,511,403,241,281,191,82,29
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,,,"Etowah",2397,2671,2781,2479,1777,1487,1019,1361,1013,357,131
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,"Fayette",602,375,247,230,136,121,58,102,79,44,19
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,"Franklin",781,575,429,470,322,274,149,150,105,39,9
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,"Geneva",772,633,467,453,337,219,117,112,86,25,7
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,"Greene",241,157,123,103,73,65,41,68,33,20,6
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,"Hale",505,241,184,183,90,74,52,69,57,18,7
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,"Henry",398,304,225,243,196,124,71,101,61,26,9
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,"Houston",916,1044,1227,1423,1231,1089,755,802,617,297,128
"G0100710","1970","Alabama","01","Jackson","071",,,,,,,,,"Jackson",1183,820,641,581,362,347,216,271,206,78,40
"G0100730","1970","Alabama","01","Jefferson","073",,,,,"1000",,,,"Jefferson",8343,12403,15909,18681,15457,13010,9244,11836,11090,4909,2305
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,"Lamar",441,335,226,201,131,140,55,80,42,15,3
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,"Lauderdale",1071,1307,1330,1525,1324,1356,1003,1224,962,446,113
