GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AR5AA
G0100010,1970,Alabama,1,10,Autauga County,1,10,Autauga,6796
G0100030,1970,Alabama,1,10,Baldwin County,3,30,Baldwin,17721
G0100050,1970,Alabama,1,10,Barbour County,5,50,Barbour,6814
G0100070,1970,Alabama,1,10,Bibb County,7,70,Bibb,4020
G0100090,1970,Alabama,1,10,Blount County,9,90,Blount,8442
G0100110,1970,Alabama,1,10,Bullock County,11,110,Bullock,3336
G0100130,1970,Alabama,1,10,Butler County,13,130,Butler,6669
G0100150,1970,Alabama,1,10,Calhoun County,15,150,Calhoun,30657
G0100170,1970,Alabama,1,10,Chambers County,17,170,Chambers,11208
G0100190,1970,Alabama,1,10,Cherokee County,19,190,Cherokee,4879
G0100210,1970,Alabama,1,10,Chilton County,21,210,Chilton,8019
G0100230,1970,Alabama,1,10,Choctaw County,23,230,Choctaw,4674
G0100250,1970,Alabama,1,10,Clarke County,25,250,Clarke,7608
G0100270,1970,Alabama,1,10,Clay County,27,270,Clay,3948
G0100290,1970,Alabama,1,10,Cleburne County,29,290,Cleburne,3366
G0100310,1970,Alabama,1,10,Coffee County,31,310,Coffee,10667
G0100330,1970,Alabama,1,10,Colbert County,33,330,Colbert,15049
G0100350,1970,Alabama,1,10,Conecuh County,35,350,Conecuh,4665
G0100370,1970,Alabama,1,10,Coosa County,37,370,Coosa,3144
G0100390,1970,Alabama,1,10,Covington County,39,390,Covington,11208
G0100410,1970,Alabama,1,10,Crenshaw County,41,410,Crenshaw,4226
G0100430,1970,Alabama,1,10,Cullman County,43,430,Cullman,16220
G0100450,1970,Alabama,1,10,Dale County,45,450,Dale,13909
G0100470,1970,Alabama,1,10,Dallas County,47,470,Dallas,15611
G0100490,1970,Alabama,1,10,DeKalb County,49,490,De Kalb,13501
G0100510,1970,Alabama,1,10,Elmore County,51,510,Elmore,9643
G0100530,1970,Alabama,1,10,Escambia County,53,530,Escambia,9963
G0100550,1970,Alabama,1,10,Etowah County,55,550,Etowah,30241
G0100570,1970,Alabama,1,10,Fayette County,57,570,Fayette,5223
G0100590,1970,Alabama,1,10,Franklin County,59,590,Franklin,7698
G0100610,1970,Alabama,1,10,Geneva County,61,610,Geneva,7059
G0100630,1970,Alabama,1,10,Greene County,63,630,Greene,2947
G0100650,1970,Alabama,1,10,Hale County,65,650,Hale,4277
G0100670,1970,Alabama,1,10,Henry County,67,670,Henry,4103
G0100690,1970,Alabama,1,10,Houston County,69,690,Houston,17600
G0100710,1970,Alabama,1,10,Jackson County,71,710,Jackson,12014
G0100730,1970,Alabama,1,10,Jefferson County,73,730,Jefferson,203629
G0100750,1970,Alabama,1,10,Lamar County,75,750,Lamar,4672
G0100770,1970,Alabama,1,10,Lauderdale County,77,770,Lauderdale,20779
G0100790,1970,Alabama,1,10,Lawrence County,79,790,Lawrence,7808
G0100810,1970,Alabama,1,10,Lee County,81,810,Lee,17391
G0100830,1970,Alabama,1,10,Limestone County,83,830,Limestone,12040
G0100850,1970,Alabama,1,10,Lowndes County,85,850,Lowndes,3100
G0100870,1970,Alabama,1,10,Macon County,87,870,Macon,6457
G0100890,1970,Alabama,1,10,Madison County,89,890,Madison,53150
G0100910,1970,Alabama,1,10,Marengo County,91,910,Marengo,6741
G0100930,1970,Alabama,1,10,Marion County,93,930,Marion,7708
G0100950,1970,Alabama,1,10,Marshall County,95,950,Marshall,17111
G0100970,1970,Alabama,1,10,Mobile County,97,970,Mobile,91769
G0100990,1970,Alabama,1,10,Monroe County,99,990,Monroe,5932
G0101010,1970,Alabama,1,10,Montgomery County,101,1010,Montgomery,50689
G0101030,1970,Alabama,1,10,Morgan County,103,1030,Morgan,23520
G0101050,1970,Alabama,1,10,Perry County,105,1050,Perry,4192
G0101070,1970,Alabama,1,10,Pickens County,107,1070,Pickens,5946
G0101090,1970,Alabama,1,10,Pike County,109,1090,Pike,7445
G0101110,1970,Alabama,1,10,Randolph County,111,1110,Randolph,5887
G0101130,1970,Alabama,1,10,Russell County,113,1130,Russell,13058
G0101150,1970,Alabama,1,10,St. Clair County,115,1150,St Clair,8312
G0101170,1970,Alabama,1,10,Shelby County,117,1170,Shelby,11125
G0101190,1970,Alabama,1,10,Sumter County,119,1190,Sumter,4660
G0101210,1970,Alabama,1,10,Talladega County,121,1210,Talladega,18861
G0101230,1970,Alabama,1,10,Tallapoosa County,123,1230,Tallapoosa,10458
G0101250,1970,Alabama,1,10,Tuscaloosa County,125,1250,Tuscaloosa,32916
G0101270,1970,Alabama,1,10,Walker County,127,1270,Walker,17697
G0101290,1970,Alabama,1,10,Washington County,129,1290,Washington,4346
G0101310,1970,Alabama,1,10,Wilcox County,131,1310,Wilcox,4211
G0101330,1970,Alabama,1,10,Winston County,133,1330,Winston,5378
G0200100,1970,Alaska,2,20,Aleutian Islands,10,100,Aleutian Islands,1225
G0200200,1970,Alaska,2,20,Anchorage Municipality,20,200,Anchorage,34988
G0200300,1970,Alaska,2,20,Angoon,30,300,Angoon,134
G0200400,1970,Alaska,2,20,Barrow,40,400,Barrow,463
G0200500,1970,Alaska,2,20,Bethel Census Area,50,500,Bethel,1435
G0200600,1970,Alaska,2,20,Bristol Bay Borough,60,600,Bristol Bay Borough,192
G0200620,1970,Alaska,2,20,Bristol Bay Division,62,620,Bristol Bay Division,724
G0200800,1970,Alaska,2,20,Cordova-McCarthy,80,800,Cordova-Mc Carthy,591
