GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,BS7AA,BS7AB,BS7AC,BS7AD,BS7AAM,BS7ABM,BS7ACM,BS7ADM
G0100010,1970,Alabama,1,10,Autauga County,1,10,Autauga,4815,1442,437,102,,,,
G0100030,1970,Alabama,1,10,Baldwin County,3,30,Baldwin,12981,3288,1138,314,,,,
G0100050,1970,Alabama,1,10,Barbour County,5,50,Barbour,5553,843,349,69,,,,
G0100070,1970,Alabama,1,10,Bibb County,7,70,Bibb,3340,521,144,15,,,,
G0100090,1970,Alabama,1,10,Blount County,9,90,Blount,6847,1218,305,72,,,,
G0100110,1970,Alabama,1,10,Bullock County,11,110,Bullock,2963,215,140,18,,,,
G0100130,1970,Alabama,1,10,Butler County,13,130,Butler,5630,783,179,77,,,,
G0100150,1970,Alabama,1,10,Calhoun County,15,150,Calhoun,22875,5504,1865,413,,,,
G0100170,1970,Alabama,1,10,Chambers County,17,170,Chambers,8518,2082,514,94,,,,
G0100190,1970,Alabama,1,10,Cherokee County,19,190,Cherokee,4063,636,140,40,,,,
G0100210,1970,Alabama,1,10,Chilton County,21,210,Chilton,6667,1005,246,101,,,,
G0100230,1970,Alabama,1,10,Choctaw County,23,230,Choctaw,3830,591,209,44,,,,
G0100250,1970,Alabama,1,10,Clarke County,25,250,Clarke,6017,1052,456,83,,,,
G0100270,1970,Alabama,1,10,Clay County,27,270,Clay,3255,559,105,29,,,,
G0100290,1970,Alabama,1,10,Cleburne County,29,290,Cleburne,2724,512,121,9,,,,
G0100310,1970,Alabama,1,10,Coffee County,31,310,Coffee,8123,1637,744,163,,,,
G0100330,1970,Alabama,1,10,Colbert County,33,330,Colbert,10782,3025,995,247,,,,
G0100350,1970,Alabama,1,10,Conecuh County,35,350,Conecuh,4034,471,124,36,,,,
G0100370,1970,Alabama,1,10,Coosa County,37,370,Coosa,2669,313,133,29,,,,
G0100390,1970,Alabama,1,10,Covington County,39,390,Covington,9295,1379,434,100,,,,
G0100410,1970,Alabama,1,10,Crenshaw County,41,410,Crenshaw,3769,337,76,44,,,,
G0100430,1970,Alabama,1,10,Cullman County,43,430,Cullman,13065,2383,655,117,,,,
G0100450,1970,Alabama,1,10,Dale County,45,450,Dale,9977,2872,927,133,,,,
G0100470,1970,Alabama,1,10,Dallas County,47,470,Dallas,12336,2074,946,255,,,,
G0100490,1970,Alabama,1,10,DeKalb County,49,490,De Kalb,11513,1446,384,158,,,,
G0100510,1970,Alabama,1,10,Elmore County,51,510,Elmore,7283,1646,543,171,,,,
G0100530,1970,Alabama,1,10,Escambia County,53,530,Escambia,7929,1425,470,139,,,,
G0100550,1970,Alabama,1,10,Etowah County,55,550,Etowah,21501,6135,2201,404,,,,
G0100570,1970,Alabama,1,10,Fayette County,57,570,Fayette,4405,585,159,74,,,,
G0100590,1970,Alabama,1,10,Franklin County,59,590,Franklin,6313,1022,292,71,,,,
G0100610,1970,Alabama,1,10,Geneva County,61,610,Geneva,5884,831,269,75,,,,
G0100630,1970,Alabama,1,10,Greene County,63,630,Greene,2616,197,96,38,,,,
G0100650,1970,Alabama,1,10,Hale County,65,650,Hale,3780,341,112,44,,,,
G0100670,1970,Alabama,1,10,Henry County,67,670,Henry,3511,443,104,45,,,,
G0100690,1970,Alabama,1,10,Houston County,69,690,Houston,12845,3152,1151,452,,,,
G0100710,1970,Alabama,1,10,Jackson County,71,710,Jackson,9604,1734,563,113,,,,
G0100730,1970,Alabama,1,10,Jefferson County,73,730,Jefferson,135723,41602,20098,6206,,,,
G0100750,1970,Alabama,1,10,Lamar County,75,750,Lamar,4042,506,79,45,,,,
G0100770,1970,Alabama,1,10,Lauderdale County,77,770,Lauderdale,14693,4051,1633,402,,,,
G0100790,1970,Alabama,1,10,Lawrence County,79,790,Lawrence,6431,1041,274,62,,,,
G0100810,1970,Alabama,1,10,Lee County,81,810,Lee,12374,3038,1621,358,,,,
G0100830,1970,Alabama,1,10,Limestone County,83,830,Limestone,9026,2069,719,226,,,,
G0100850,1970,Alabama,1,10,Lowndes County,85,850,Lowndes,2725,267,82,26,,,,
G0100870,1970,Alabama,1,10,Macon County,87,870,Macon,5330,723,347,57,,,,
G0100890,1970,Alabama,1,10,Madison County,89,890,Madison,27581,12127,11127,2315,,,,
G0100910,1970,Alabama,1,10,Marengo County,91,910,Marengo,5444,947,292,58,,,,
G0100930,1970,Alabama,1,10,Marion County,93,930,Marion,6455,889,281,83,,,,
G0100950,1970,Alabama,1,10,Marshall County,95,950,Marshall,13474,2498,954,185,,,,
G0100970,1970,Alabama,1,10,Mobile County,97,970,Mobile,64306,17523,7732,2208,,,,
G0100990,1970,Alabama,1,10,Monroe County,99,990,Monroe,4914,744,210,64,,,,
G0101010,1970,Alabama,1,10,Montgomery County,101,1010,Montgomery,33822,9773,5440,1654,,,,
G0101030,1970,Alabama,1,10,Morgan County,103,1030,Morgan,15688,5133,2180,519,,,,
G0101050,1970,Alabama,1,10,Perry County,105,1050,Perry,3598,420,119,55,,,,
G0101070,1970,Alabama,1,10,Pickens County,107,1070,Pickens,4927,795,201,23,,,,
G0101090,1970,Alabama,1,10,Pike County,109,1090,Pike,6113,879,315,138,,,,
G0101110,1970,Alabama,1,10,Randolph County,111,1110,Randolph,4900,722,223,42,,,,
G0101130,1970,Alabama,1,10,Russell County,113,1130,Russell,10523,1903,540,92,,,,
G0101150,1970,Alabama,1,10,St. Clair County,115,1150,St Clair,6612,1234,368,98,,,,
G0101170,1970,Alabama,1,10,Shelby County,117,1170,Shelby,8441,1769,707,208,,,,
G0101190,1970,Alabama,1,10,Sumter County,119,1190,Sumter,4047,354,199,60,,,,
G0101210,1970,Alabama,1,10,Talladega County,121,1210,Talladega,14039,3441,1153,228,,,,
G0101230,1970,Alabama,1,10,Tallapoosa County,123,1230,Tallapoosa,8475,1448,429,106,,,,
G0101250,1970,Alabama,1,10,Tuscaloosa County,125,1250,Tuscaloosa,23732,5795,2639,750,,,,
G0101270,1970,Alabama,1,10,Walker County,127,1270,Walker,14302,2448,773,174,,,,
G0101290,1970,Alabama,1,10,Washington County,129,1290,Washington,3638,542,133,33,,,,
