GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AB2AA,AB2AAM
G0100010,1980,Alabama,1,10,Autauga County,1,10,AUTAUGA COUNTY,18433,
G0100030,1980,Alabama,1,10,Baldwin County,3,30,BALDWIN COUNTY,16917,
G0100050,1980,Alabama,1,10,Barbour County,5,50,BARBOUR COUNTY,11952,
G0100070,1980,Alabama,1,10,Bibb County,7,70,BIBB COUNTY,14709,
G0100090,1980,Alabama,1,10,Blount County,9,90,BLOUNT COUNTY,14701,
G0100110,1980,Alabama,1,10,Bullock County,11,110,BULLOCK COUNTY,10623,
G0100130,1980,Alabama,1,10,Butler County,13,130,BUTLER COUNTY,12385,
G0100150,1980,Alabama,1,10,Calhoun County,15,150,CALHOUN COUNTY,16131,
G0100170,1980,Alabama,1,10,Chambers County,17,170,CHAMBERS COUNTY,15336,
G0100190,1980,Alabama,1,10,Cherokee County,19,190,CHEROKEE COUNTY,14036,
G0100210,1980,Alabama,1,10,Chilton County,21,210,CHILTON COUNTY,14206,
G0100230,1980,Alabama,1,10,Choctaw County,23,230,CHOCTAW COUNTY,12277,
G0100250,1980,Alabama,1,10,Clarke County,25,250,CLARKE COUNTY,14803,
G0100270,1980,Alabama,1,10,Clay County,27,270,CLAY COUNTY,13360,
G0100290,1980,Alabama,1,10,Cleburne County,29,290,CLEBURNE COUNTY,14642,
G0100310,1980,Alabama,1,10,Coffee County,31,310,COFFEE COUNTY,16292,
G0100330,1980,Alabama,1,10,Colbert County,33,330,COLBERT COUNTY,17664,
G0100350,1980,Alabama,1,10,Conecuh County,35,350,CONECUH COUNTY,11880,
G0100370,1980,Alabama,1,10,Coosa County,37,370,COOSA COUNTY,12654,
G0100390,1980,Alabama,1,10,Covington County,39,390,COVINGTON COUNTY,13791,
G0100410,1980,Alabama,1,10,Crenshaw County,41,410,CRENSHAW COUNTY,11021,
G0100430,1980,Alabama,1,10,Cullman County,43,430,CULLMAN COUNTY,14119,
G0100450,1980,Alabama,1,10,Dale County,45,450,DALE COUNTY,14176,
