GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA,B79AAM
G0100010,1980,Alabama,1,10,Autauga County,1,10,AUTAUGA COUNTY,16524,
G0100030,1980,Alabama,1,10,Baldwin County,3,30,BALDWIN COUNTY,14614,
G0100050,1980,Alabama,1,10,Barbour County,5,50,BARBOUR COUNTY,10058,
G0100070,1980,Alabama,1,10,Bibb County,7,70,BIBB COUNTY,12299,
G0100090,1980,Alabama,1,10,Blount County,9,90,BLOUNT COUNTY,12657,
G0100110,1980,Alabama,1,10,Bullock County,11,110,BULLOCK COUNTY,8204,
G0100130,1980,Alabama,1,10,Butler County,13,130,BUTLER COUNTY,10206,
G0100150,1980,Alabama,1,10,Calhoun County,15,150,CALHOUN COUNTY,13665,
G0100170,1980,Alabama,1,10,Chambers County,17,170,CHAMBERS COUNTY,12304,
G0100190,1980,Alabama,1,10,Cherokee County,19,190,CHEROKEE COUNTY,12004,
G0100210,1980,Alabama,1,10,Chilton County,21,210,CHILTON COUNTY,11879,
G0100230,1980,Alabama,1,10,Choctaw County,23,230,CHOCTAW COUNTY,10134,
G0100250,1980,Alabama,1,10,Clarke County,25,250,CLARKE COUNTY,12091,
G0100270,1980,Alabama,1,10,Clay County,27,270,CLAY COUNTY,10984,
G0100290,1980,Alabama,1,10,Cleburne County,29,290,CLEBURNE COUNTY,12782,
G0100310,1980,Alabama,1,10,Coffee County,31,310,COFFEE COUNTY,14148,
G0100330,1980,Alabama,1,10,Colbert County,33,330,COLBERT COUNTY,15445,
G0100350,1980,Alabama,1,10,Conecuh County,35,350,CONECUH COUNTY,9211,
G0100370,1980,Alabama,1,10,Coosa County,37,370,COOSA COUNTY,10968,
G0100390,1980,Alabama,1,10,Covington County,39,390,COVINGTON COUNTY,11209,
G0100410,1980,Alabama,1,10,Crenshaw County,41,410,CRENSHAW COUNTY,8906,
G0100430,1980,Alabama,1,10,Cullman County,43,430,CULLMAN COUNTY,12117,
G0100450,1980,Alabama,1,10,Dale County,45,450,DALE COUNTY,12627,
G0100470,1980,Alabama,1,10,Dallas County,47,470,DALLAS COUNTY,10565,
G0100490,1980,Alabama,1,10,DeKalb County,49,490,DE KALB COUNTY,11475,
G0100510,1980,Alabama,1,10,Elmore County,51,510,ELMORE COUNTY,14985,
G0100530,1980,Alabama,1,10,Escambia County,53,530,ESCAMBIA COUNTY,11580,
G0100550,1980,Alabama,1,10,Etowah County,55,550,ETOWAH COUNTY,13320,
G0100570,1980,Alabama,1,10,Fayette County,57,570,FAYETTE COUNTY,11878,
G0100590,1980,Alabama,1,10,Franklin County,59,590,FRANKLIN COUNTY,12112,
G0100610,1980,Alabama,1,10,Geneva County,61,610,GENEVA COUNTY,10866,
G0100630,1980,Alabama,1,10,Greene County,63,630,GREENE COUNTY,7406,
G0100650,1980,Alabama,1,10,Hale County,65,650,HALE COUNTY,8236,
G0100670,1980,Alabama,1,10,Henry County,67,670,HENRY COUNTY,11627,
G0100690,1980,Alabama,1,10,Houston County,69,690,HOUSTON COUNTY,14075,
G0100710,1980,Alabama,1,10,Jackson County,71,710,JACKSON COUNTY,13772,
G0100730,1980,Alabama,1,10,Jefferson County,73,730,JEFFERSON COUNTY,15656,
G0100750,1980,Alabama,1,10,Lamar County,75,750,LAMAR COUNTY,12695,
G0100770,1980,Alabama,1,10,Lauderdale County,77,770,LAUDERDALE COUNTY,15093,
G0100790,1980,Alabama,1,10,Lawrence County,79,790,LAWRENCE COUNTY,12097,
