GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CBW001,CBW002,CBW003,CBW004,CBW005
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,,,,,"Autauga",17489,6933,4,19,15
"G0100030","1970","Alabama","01","Baldwin","003",,,,,,"5160",,,,,,,"Baldwin",48643,10576,84,43,36
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,,,,,"Barbour",12106,10409,18,8,2
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,,,,,"Bibb",9878,3920,7,4,3
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,,,,,"Blount",26070,764,15,4,0
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,,,,,"Bullock",3850,7972,2,0,0
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,,,,,"Butler",13255,8737,5,9,1
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,,,,,"Calhoun",85343,17432,81,126,110
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,,,,,"Chambers",23750,12582,10,9,5
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,,,,,"Cherokee",14129,1460,4,8,5
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,,,,,"Chilton",21707,3465,4,3,1
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,,,,,"Choctaw",9299,7287,0,1,2
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,,,,,"Clarke",15058,11651,8,6,1
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,,,,,"Clay",10447,2173,5,10,1
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,,,,,"Cleburne",10334,652,6,2,2
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,,,,,"Coffee",28764,6055,19,22,12
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,,,,,"Colbert",41043,8538,24,16,11
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,,,,,"Conecuh",8722,6918,2,1,2
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,,,,,"Coosa",6921,3721,7,10,3
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,,,,,"Covington",28708,5351,7,5,8
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"Crenshaw",9282,3883,5,6,12
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,,,,,"Cullman",51058,1337,19,18,13
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,,,,,"Dale",45545,6718,80,319,276
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,,,,,"Dallas",26342,28880,18,28,28
"G0100490","1970","Alabama","01","DeKalb","049",,,,,,,,,,,,,"De Kalb",40939,1006,16,18,2
"G0100510","1970","Alabama","01","Elmore","051",,,,,,"5240",,,,,,,"Elmore",24031,9459,11,24,10
"G0100530","1970","Alabama","01","Escambia","053",,,,,,,,,,,,,"Escambia",23750,10599,541,8,8
"G0100550","1970","Alabama","01","Etowah","055",,,,,,"2880",,,,,,,"Etowah",80656,13382,44,43,19
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,,,,,"Fayette",13994,2249,1,2,6
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,,,,,"Franklin",22633,1293,1,4,2
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,,,,,"Geneva",18999,2896,24,2,3
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,,,,,"Greene",2684,7962,1,3,0
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,,,,,"Hale",5373,10505,2,8,0
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,,,,,"Henry",7934,5311,2,4,3
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,,,,,"Houston",43102,13375,38,44,15
"G0100710","1970","Alabama","01","Jackson","071",,,,,,,,,,,,,"Jackson",36985,2170,22,16,9
"G0100730","1970","Alabama","01","Jefferson","073",,,,,,"1000",,,,,,,"Jefferson",437436,206461,371,518,205
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,,,,,"Lamar",12266,2055,0,13,1
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,,,,,"Lauderdale",60836,7223,13,27,12
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,,,,,,,"Lawrence",22046,5230,1,3,1
"G0100810","1970","Alabama","01","Lee","081",,,,,,,,,,,,,"Lee",44089,17032,11,92,44
"G0100830","1970","Alabama","01","Limestone","083",,,,,,"3440",,,,,,,"Limestone",34293,7358,9,10,29
"G0100850","1970","Alabama","01","Lowndes","085",,,,,,,,,,,,,"Lowndes",2934,9959,1,2,1
"G0100870","1970","Alabama","01","Macon","087",,,,,,,,,,,,,"Macon",4793,19900,8,48,92
"G0100890","1970","Alabama","01","Madison","089",,,,,,"3440",,,,,,,"Madison",157283,28517,114,448,178
"G0100910","1970","Alabama","01","Marengo","091",,,,,,,,,,,,,"Marengo",10789,13005,6,17,2
"G0100930","1970","Alabama","01","Marion","093",,,,,,,,,,,,,"Marion",23023,745,10,9,1
"G0100950","1970","Alabama","01","Marshall","095",,,,,,,,,,,,,"Marshall",52851,1282,14,49,15
"G0100970","1970","Alabama","01","Mobile","097",,,,,,"5160",,,,,,,"Mobile",214070,102383,346,285,224
"G0100990","1970","Alabama","01","Monroe","099",,,,,,,,,,,,,"Monroe",11272,9539,60,8,4
"G0101010","1970","Alabama","01","Montgomery","101",,,,,,"5240",,,,,,,"Montgomery",106687,60744,125,161,73
"G0101030","1970","Alabama","01","Morgan","103",,,,,,,,,,,,,"Morgan",69761,7476,31,31,7
"G0101050","1970","Alabama","01","Perry","105",,,,,,,,,,,,,"Perry",6471,8892,16,9,0
"G0101070","1970","Alabama","01","Pickens","107",,,,,,,,,,,,,"Pickens",11901,8419,4,1,1
"G0101090","1970","Alabama","01","Pike","109",,,,,,,,,,,,,"Pike",16515,8503,4,15,1
"G0101110","1970","Alabama","01","Randolph","111",,,,,,,,,,,,,"Randolph",14184,4137,5,4,1
"G0101130","1970","Alabama","01","Russell","113",,,,,,"1800",,,,,,,"Russell",24706,20648,13,18,9
"G0101150","1970","Alabama","01","St Clair","115",,,,,,,,,,,,,"St Clair",23940,3999,7,8,2
"G0101170","1970","Alabama","01","Shelby","117",,,,,,"1000",,,,,,,"Shelby",31542,6444,25,18,8
"G0101190","1970","Alabama","01","Sumter","119",,,,,,,,,,,,,"Sumter",5880,11086,2,4,2
"G0101210","1970","Alabama","01","Talladega","121",,,,,,,,,,,,,"Talladega",45151,20045,38,26,20
"G0101230","1970","Alabama","01","Tallapoosa","123",,,,,,,,,,,,,"Tallapoosa",24383,9438,12,4,3
"G0101250","1970","Alabama","01","Tuscaloosa","125",,,,,,"8600",,,,,,,"Tuscaloosa",86893,28964,27,107,38
"G0101270","1970","Alabama","01","Walker","127",,,,,,"1000",,,,,,,"Walker",51210,4979,35,16,6
"G0101290","1970","Alabama","01","Washington","129",,,,,,,,,,,,,"Washington",11255,4920,63,1,2
"G0101310","1970","Alabama","01","Wilcox","131",,,,,,,,,,,,,"Wilcox",5177,11123,1,1,1
"G0101330","1970","Alabama","01","Winston","133",,,,,,,,,,,,,"Winston",16523,120,5,1,5
"G0200100","1970","Alaska","02","Aleutian Islands","010",,,,,,,,,,,,,"Aleutian Islands",5564,237,61,2165,30
"G0200200","1970","Alaska","02","Anchorage","020",,,,,,,,,,,,,"Anchorage",112965,5147,1775,4052,603
"G0200300","1970","Alaska","02","Angoon","030",,,,,,,,,,,,,"Angoon",114,0,371,16,2
"G0200400","1970","Alaska","02","Barrow","040",,,,,,,,,,,,,"Barrow",330,14,10,2306,3
"G0200500","1970","Alaska","02","Bethel","050",,,,,,,,,,,,,"Bethel",747,24,65,6715,28
"G0200600","1970","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,"Bristol Bay Borough",922,31,20,168,6
"G0200620","1970","Alaska","02","Bristol Bay Division","062",,,,,,,,,,,,,"Bristol Bay Division",671,5,272,2518,19
"G0200800","1970","Alaska","02","Cordova-McCarthy","080",,,,,,,,,,,,,"Cordova-Mc Carthy",1529,2,49,273,4
"G0200900","1970","Alaska","02","Fairbanks North Star","090",,,,,,,,,,,,,"Fairbanks",40933,2580,1020,1050,281
"G0201000","1970","Alaska","02","Haines","100",,,,,,,,,,,,,"Haines",1175,0,315,8,6
"G0201100","1970","Alaska","02","Juneau","110",,,,,,,,,,,,,"Juneau",11422,106,1477,493,58
"G0201200","1970","Alaska","02","Kenai-Cook Inlet","120",,,,,,,,,,,,,"Kenai-Cook Inlet",13047,105,478,586,34
