GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUCE001,ALUCE002,ALUCE003,ALUCE004,ALUCE005,ALUCE006,ALUCE007,ALUCE008,ALUCE009,ALUCE010,ALUKE001,ALUKE002,ALUKE003,ALUKE004,ALUKE005,ALUKE006,ALUKE007,ALUKE008,ALUKE009,ALUKE010,ALUKE011,ALUKE012,ALUKE013,ALUKE014,ALUKE015,ALUKE016,ALUKE017,ALUKE018,ALUKE019,ALUKE020,ALUKE021,NAME_M,ALUCM001,ALUCM002,ALUCM003,ALUCM004,ALUCM005,ALUCM006,ALUCM007,ALUCM008,ALUCM009,ALUCM010,ALUKM001,ALUKM002,ALUKM003,ALUKM004,ALUKM005,ALUKM006,ALUKM007,ALUKM008,ALUKM009,ALUKM010,ALUKM011,ALUKM012,ALUKM013,ALUKM014,ALUKM015,ALUKM016,ALUKM017,ALUKM018,ALUKM019,ALUKM020,ALUKM021
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",55380,42527,10538,140,573,26,378,1198,14,1184,55380,53815,41315,10524,140,573,5,85,1173,0,1173,1565,1212,14,0,0,21,293,25,14,11,"Autauga County, Alabama",0,258,267,73,158,33,313,309,23,306,0,0,52,266,73,158,9,123,304,28,304,0,248,20,28,28,32,262,30,23,22
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",212830,183471,19718,1645,1969,9,2429,3589,294,3295,212830,203119,176803,19525,1391,1955,9,344,3092,82,3010,9711,6668,193,254,14,0,2085,497,212,285,"Baldwin County, Alabama",0,797,451,394,275,15,708,645,186,637,0,0,245,373,313,273,15,255,594,84,578,0,760,165,247,25,28,683,327,170,284
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",25361,11869,12066,82,134,1,905,304,34,270,25361,24256,11618,12031,74,121,1,107,304,34,270,1105,251,35,8,13,0,798,0,0,0,"Barbour County, Alabama",0,146,153,42,33,3,178,125,34,125,0,0,32,150,41,22,3,83,125,34,125,0,141,28,13,23,22,148,22,22,22
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",22493,17272,5014,30,27,0,9,141,0,141,22493,21914,16763,4981,30,27,0,0,113,0,113,579,509,33,0,0,0,9,28,0,28,"Bibb County, Alabama",0,75,116,60,45,22,18,87,22,87,0,0,22,108,60,45,22,22,76,22,76,0,75,55,22,22,22,18,43,22,43
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57681,55062,928,46,212,25,492,916,13,903,57681,52339,50121,881,40,212,25,214,846,0,846,5342,4941,47,6,0,0,278,70,13,57,"Blount County, Alabama",0,373,154,41,25,40,355,162,15,162,0,0,261,149,38,25,40,261,141,28,141,0,278,53,10,28,28,254,74,15,71
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",10248,2244,7666,0,50,0,210,78,0,78,10248,9986,2191,7666,0,50,0,1,78,0,78,262,53,0,0,0,0,209,0,0,0,"Bullock County, Alabama",0,53,328,19,66,19,309,101,19,101,0,314,19,328,19,66,19,4,101,19,101,314,53,19,19,19,19,308,19,19,19
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",19828,10280,9001,11,69,0,42,425,91,334,19828,19551,10232,8928,11,69,0,0,311,0,311,277,48,73,0,0,0,42,114,91,23,"Butler County, Alabama",0,58,154,11,59,19,51,143,105,112,0,0,19,133,11,59,19,19,101,19,101,0,58,64,19,19,19,51,102,105,41
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",114618,84439,23830,379,1014,14,2202,2740,225,2515,114618,110266,82608,23682,220,1007,14,185,2550,86,2464,4352,1831,148,159,7,0,2017,190,139,51,"Calhoun County, Alabama",0,543,426,236,163,21,500,475,159,433,0,0,204,418,112,162,21,199,447,80,440,0,466,130,211,11,28,450,151,134,56
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33660,19423,13316,112,376,0,91,342,0,342,33660,32860,18697,13316,112,376,0,17,342,0,342,800,726,0,0,0,0,74,0,0,0,"Chambers County, Alabama",0,101,167,50,55,25,110,190,25,190,0,0,2,167,50,55,25,26,190,25,190,0,102,25,25,25,25,102,25,25,25
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",25903,24052,1191,280,64,0,91,225,0,225,25903,25490,23759,1191,280,64,0,0,196,0,196,413,293,0,0,0,0,91,29,0,29,"Cherokee County, Alabama",0,87,112,121,68,22,77,150,22,150,0,0,22,112,121,68,22,22,142,22,142,0,87,22,22,22,22,77,50,22,50
