GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AV0AA,A57AA,A57AB,A57AC,A57AD,B18AA,B18AB,B18AC,B18AD,B18AE,A35AA,AV0AAM
G0100010,1970,Alabama,1,10,Autauga County,1,10,Autauga,24460,13116,0,13116,11344,17511,6911,4,34,,835,
G0100030,1970,Alabama,1,10,Baldwin County,3,30,Baldwin,59382,15815,0,15815,43567,48650,10569,84,79,,1284,
G0100050,1970,Alabama,1,10,Barbour County,5,50,Barbour,22543,9102,0,9102,13441,12134,10389,10,10,,0,
G0100070,1970,Alabama,1,10,Bibb County,7,70,Bibb,13812,0,0,0,13812,9953,3850,1,8,,0,
G0100090,1970,Alabama,1,10,Blount County,9,90,Blount,26853,4390,0,4390,22463,26205,629,15,4,,0,
G0100110,1970,Alabama,1,10,Bullock County,11,110,Bullock,11824,4324,0,4324,7500,3857,7965,2,0,,0,
G0100130,1970,Alabama,1,10,Butler County,13,130,Butler,22007,8033,0,8033,13974,13174,8820,3,10,,19,
G0100150,1970,Alabama,1,10,Calhoun County,15,150,Calhoun,103092,66130,0,66130,36962,85186,17584,85,237,,419,
G0100170,1970,Alabama,1,10,Chambers County,17,170,Chambers,36356,15892,0,15892,20464,23695,12637,10,14,,1242,
G0100190,1970,Alabama,1,10,Cherokee County,19,190,Cherokee,15606,0,0,0,15606,14199,1393,4,10,,0,
G0100210,1970,Alabama,1,10,Chilton County,21,210,Chilton,25180,5868,0,5868,19312,21762,3410,4,4,,0,
G0100230,1970,Alabama,1,10,Choctaw County,23,230,Choctaw,16589,0,0,0,16589,9276,7309,0,4,,214,
G0100250,1970,Alabama,1,10,Clarke County,25,250,Clarke,26724,9726,0,9726,16998,15008,11701,8,7,,47,
G0100270,1970,Alabama,1,10,Clay County,27,270,Clay,12636,0,0,0,12636,10578,2041,5,12,,80,
G0100290,1970,Alabama,1,10,Cleburne County,29,290,Cleburne,10996,2872,0,2872,8124,10346,640,6,4,,37,
G0100310,1970,Alabama,1,10,Coffee County,31,310,Coffee,34872,20225,0,20225,14647,28853,5965,20,34,,71,
G0100330,1970,Alabama,1,10,Colbert County,33,330,Colbert,49632,28850,0,28850,20782,41105,8480,20,27,,21,
G0100350,1970,Alabama,1,10,Conecuh County,35,350,Conecuh,15645,3924,0,3924,11721,8654,6986,2,3,,33,
G0100370,1970,Alabama,1,10,Coosa County,37,370,Coosa,10662,0,0,0,10662,6906,3736,7,13,,0,
G0100390,1970,Alabama,1,10,Covington County,39,390,Covington,34079,19286,0,19286,14793,29015,5043,7,14,,482,
G0100410,1970,Alabama,1,10,Crenshaw County,41,410,Crenshaw,13188,0,0,0,13188,9386,3779,5,18,,46,
G0100430,1970,Alabama,1,10,Cullman County,43,430,Cullman,52445,12601,0,12601,39844,51872,521,20,32,,1249,
G0100450,1970,Alabama,1,10,Dale County,45,450,Dale,52938,32979,0,32979,19959,45817,6448,77,596,,709,
G0100470,1970,Alabama,1,10,Dallas County,47,470,Dallas,55296,27379,0,27379,27917,26330,28892,18,56,,348,
G0100490,1970,Alabama,1,10,DeKalb County,49,490,De Kalb,41981,8435,0,8435,33546,41123,821,16,21,,2897,
G0100510,1970,Alabama,1,10,Elmore County,51,510,Elmore,33535,7190,0,7190,26345,24045,9454,11,25,,773,
G0100530,1970,Alabama,1,10,Escambia County,53,530,Escambia,34906,15040,0,15040,19866,23748,10601,541,16,,62,
G0100550,1970,Alabama,1,10,Etowah County,55,550,Etowah,94144,67868,67698,170,26276,81010,13044,28,62,,58,
G0100570,1970,Alabama,1,10,Fayette County,57,570,Fayette,16252,4707,0,4707,11545,13989,2254,1,8,,0,
G0100590,1970,Alabama,1,10,Franklin County,59,590,Franklin,23933,7814,0,7814,16119,22728,1198,1,6,,0,
G0100610,1970,Alabama,1,10,Geneva County,61,610,Geneva,21924,7046,0,7046,14878,19029,2866,24,5,,63,
G0100630,1970,Alabama,1,10,Greene County,63,630,Greene,10650,2805,0,2805,7845,2619,8027,1,3,,16,
G0100650,1970,Alabama,1,10,Hale County,65,650,Hale,15888,3371,0,3371,12517,5336,10542,2,8,,16,
G0100670,1970,Alabama,1,10,Henry County,67,670,Henry,13254,5541,0,5541,7713,7907,5341,2,4,,0,
G0100690,1970,Alabama,1,10,Houston County,69,690,Houston,56574,36733,0,36733,19841,43069,13408,38,59,,62,
G0100710,1970,Alabama,1,10,Jackson County,71,710,Jackson,39202,12232,0,12232,26970,37175,1980,22,25,,79,
G0100730,1970,Alabama,1,10,Jefferson County,73,730,Jefferson,644991,570402,558099,12303,74589,437433,206464,371,723,,11482,
G0100750,1970,Alabama,1,10,Lamar County,75,750,Lamar,14335,0,0,0,14335,12366,1955,0,14,,87,
G0100770,1970,Alabama,1,10,Lauderdale County,77,770,Lauderdale,68111,34031,0,34031,34080,60866,7196,9,40,,1194,
G0100790,1970,Alabama,1,10,Lawrence County,79,790,Lawrence,27281,0,0,0,27281,22161,5114,1,5,,905,
G0100810,1970,Alabama,1,10,Lee County,81,810,Lee,61268,41794,0,41794,19474,44109,17012,11,136,,116,
G0100830,1970,Alabama,1,10,Limestone County,83,830,Limestone,41699,14360,0,14360,27339,34528,7123,9,39,,0,
G0100850,1970,Alabama,1,10,Lowndes County,85,850,Lowndes,12897,0,0,0,12897,2976,9917,1,3,,0,
G0100870,1970,Alabama,1,10,Macon County,87,870,Macon,24841,11028,0,11028,13813,4545,20147,8,141,,92,
G0100890,1970,Alabama,1,10,Madison County,89,890,Madison,186540,146565,146565,0,39975,157804,27997,111,628,,528,
G0100910,1970,Alabama,1,10,Marengo County,91,910,Marengo,23819,10348,0,10348,13471,10640,13157,6,16,,0,
G0100930,1970,Alabama,1,10,Marion County,93,930,Marion,23788,6241,0,6241,17547,23106,662,10,10,,187,
G0100950,1970,Alabama,1,10,Marshall County,95,950,Marshall,54211,26304,0,26304,27907,53037,1093,14,67,,61,
G0100970,1970,Alabama,1,10,Mobile County,97,970,Mobile,317308,260480,257816,2664,56828,214070,102383,346,509,,6347,
G0100990,1970,Alabama,1,10,Monroe County,99,990,Monroe,20883,4846,0,4846,16037,11314,9497,60,12,,253,
G0101010,1970,Alabama,1,10,Montgomery County,101,1010,Montgomery,167790,138983,138983,0,28807,106670,60771,117,232,,2548,
G0101030,1970,Alabama,1,10,Morgan County,103,1030,Morgan,77306,45399,0,45399,31907,70004,7232,31,39,,308,
G0101050,1970,Alabama,1,10,Perry County,105,1050,Perry,15388,4289,0,4289,11099,6332,9033,14,9,,0,
G0101070,1970,Alabama,1,10,Pickens County,107,1070,Pickens,20326,2851,0,2851,17475,11854,8466,4,2,,0,
G0101090,1970,Alabama,1,10,Pike County,109,1090,Pike,25038,14191,0,14191,10847,16367,8642,5,24,,0,
G0101110,1970,Alabama,1,10,Randolph County,111,1110,Randolph,18331,5251,0,5251,13080,14245,4075,5,6,,224,
G0101130,1970,Alabama,1,10,Russell County,113,1130,Russell,45394,25281,25281,0,20113,24599,20757,13,25,,60,
G0101150,1970,Alabama,1,10,St. Clair County,115,1150,St Clair,27956,5646,8,5638,22310,24043,3896,7,10,,0,
G0101170,1970,Alabama,1,10,Shelby County,117,1170,Shelby,38037,6398,0,6398,31639,31568,6416,26,27,,606,
G0101190,1970,Alabama,1,10,Sumter County,119,1190,Sumter,16974,3044,0,3044,13930,5724,11242,2,6,,443,
G0101210,1970,Alabama,1,10,Talladega County,121,1210,Talladega,65280,34748,0,34748,30532,45180,20020,34,46,,286,
G0101230,1970,Alabama,1,10,Tallapoosa County,123,1230,Tallapoosa,33840,16610,0,16610,17230,24465,9356,12,7,,865,
G0101250,1970,Alabama,1,10,Tuscaloosa County,125,1250,Tuscaloosa,116029,85875,85875,0,30154,87891,27972,24,142,,580,
G0101270,1970,Alabama,1,10,Walker County,127,1270,Walker,56246,13548,0,13548,42698,51635,4567,21,23,,54,
G0101290,1970,Alabama,1,10,Washington County,129,1290,Washington,16241,0,0,0,16241,11315,4860,63,3,,37,
G0101310,1970,Alabama,1,10,Wilcox County,131,1310,Wilcox,16303,0,0,0,16303,5140,11160,1,2,,0,
G0101330,1970,Alabama,1,10,Winston County,133,1330,Winston,16654,4134,0,4134,12520,16594,51,3,6,,423,
G0200100,1970,Alaska,2,20,Aleutian Islands,10,100,Aleutian Islands,8057,0,0,0,8057,5564,237,61,2195,,200,
G0200200,1970,Alaska,2,20,Anchorage Municipality,20,200,Anchorage,124542,85264,0,85264,39278,112965,5147,1775,4655,,2646,
G0200300,1970,Alaska,2,20,Angoon,30,300,Angoon,503,0,0,0,503,114,0,371,18,,0,
G0200400,1970,Alaska,2,20,Barrow,40,400,Barrow,2663,0,0,0,2663,330,14,10,2309,,0,
G0200500,1970,Alaska,2,20,Bethel Census Area,50,500,Bethel,7579,0,0,0,7579,747,24,65,6743,,0,
G0200600,1970,Alaska,2,20,Bristol Bay Borough,60,600,Bristol Bay Borough,1147,0,0,0,1147,922,31,20,174,,0,
G0200700,1970,Alaska,2,20,Dillingham Census Area,70,700,Bristol Bay Division,3485,0,0,0,3485,671,5,272,2537,,0,
G0200800,1970,Alaska,2,20,Cordova-McCarthy,80,800,Cordova-Mc Carthy,1857,0,0,0,1857,1529,2,49,277,,0,
G0200900,1970,Alaska,2,20,Fairbanks North Star Borough,90,900,Fairbanks,45864,33451,0,33451,12413,40933,2580,1020,1331,,866,
G0201000,1970,Alaska,2,20,Haines Borough,100,1000,Haines,1504,0,0,0,1504,1175,0,315,14,,0,
G0201100,1970,Alaska,2,20,Juneau City and Borough,110,1100,Juneau,13556,6050,0,6050,7506,11422,106,1477,551,,146,
G0201200,1970,Alaska,2,20,Kenai-Cook Inlet,120,1200,Kenai-Cook Inlet,14250,3533,0,3533,10717,13047,105,478,620,,273,
G0201300,1970,Alaska,2,20,Ketchikan Gateway Borough,130,1300,Ketchikan,10041,6994,0,6994,3047,8527,44,1179,291,,50,
G0201400,1970,Alaska,2,20,Kobuk,140,1400,Kobuk,4434,0,0,0,4434,534,5,8,3887,,0,
G0201500,1970,Alaska,2,20,Kodiak Island Borough,150,1500,Kodiak,9409,6850,0,6850,2559,7215,157,106,1931,,96,
G0201600,1970,Alaska,2,20,Kuskokwim,160,1600,Kuskokwim,2306,0,0,0,2306,584,35,745,942,,0,
G0201700,1970,Alaska,2,20,Matanuska-Susitna Borough,170,1700,Matanuska-Susitna,6509,0,0,0,6509,6189,12,138,170,,0,
G0201800,1970,Alaska,2,20,Nome Census Area,180,1800,Nome,5749,0,0,0,5749,1205,27,19,4498,,0,
G0201900,1970,Alaska,2,20,Outer Ketchikan,190,1900,Outer Ketchikan,1676,0,0,0,1676,757,5,820,94,,86,
G0202000,1970,Alaska,2,20,Prince Of Wales,200,2000,Prince Of Wales,2106,0,0,0,2106,1497,6,567,36,,0,
G0202100,1970,Alaska,2,20,Seward,210,2100,Seward,2336,0,0,0,2336,2067,4,56,209,,64,
G0202200,1970,Alaska,2,20,Sitka City and Borough,220,2200,Sitka,6109,3370,0,3370,2739,4611,36,1169,293,,0,
