GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AV0AA,CY7AA,CY7AB,CY7AC,CY7AD,CY7AE,CY7AF,AV0AAM
G0100010,1970,Alabama,1,10,Autauga County,1,10,Autauga,24460,,,,,,,
G0100030,1970,Alabama,1,10,Baldwin County,3,30,Baldwin,59382,,,,,,,
G0100050,1970,Alabama,1,10,Barbour County,5,50,Barbour,22543,,,,,,,
G0100070,1970,Alabama,1,10,Bibb County,7,70,Bibb,13812,,,,,,,
G0100090,1970,Alabama,1,10,Blount County,9,90,Blount,26853,,,,,,,
G0100110,1970,Alabama,1,10,Bullock County,11,110,Bullock,11824,,,,,,,
G0100130,1970,Alabama,1,10,Butler County,13,130,Butler,22007,,,,,,,
G0100150,1970,Alabama,1,10,Calhoun County,15,150,Calhoun,103092,,,,,,,
G0100170,1970,Alabama,1,10,Chambers County,17,170,Chambers,36356,,,,,,,
G0100190,1970,Alabama,1,10,Cherokee County,19,190,Cherokee,15606,,,,,,,
G0100210,1970,Alabama,1,10,Chilton County,21,210,Chilton,25180,,,,,,,
G0100230,1970,Alabama,1,10,Choctaw County,23,230,Choctaw,16589,,,,,,,
G0100250,1970,Alabama,1,10,Clarke County,25,250,Clarke,26724,,,,,,,
G0100270,1970,Alabama,1,10,Clay County,27,270,Clay,12636,,,,,,,
G0100290,1970,Alabama,1,10,Cleburne County,29,290,Cleburne,10996,,,,,,,
G0100310,1970,Alabama,1,10,Coffee County,31,310,Coffee,34872,,,,,,,
G0100330,1970,Alabama,1,10,Colbert County,33,330,Colbert,49632,,,,,,,
G0100350,1970,Alabama,1,10,Conecuh County,35,350,Conecuh,15645,,,,,,,
G0100370,1970,Alabama,1,10,Coosa County,37,370,Coosa,10662,,,,,,,
G0100390,1970,Alabama,1,10,Covington County,39,390,Covington,34079,,,,,,,
G0100410,1970,Alabama,1,10,Crenshaw County,41,410,Crenshaw,13188,,,,,,,
G0100430,1970,Alabama,1,10,Cullman County,43,430,Cullman,52445,,,,,,,
G0100450,1970,Alabama,1,10,Dale County,45,450,Dale,52938,,,,,,,
G0100470,1970,Alabama,1,10,Dallas County,47,470,Dallas,55296,,,,,,,
G0100490,1970,Alabama,1,10,DeKalb County,49,490,De Kalb,41981,,,,,,,
G0100510,1970,Alabama,1,10,Elmore County,51,510,Elmore,33535,,,,,,,
G0100530,1970,Alabama,1,10,Escambia County,53,530,Escambia,34906,,,,,,,
G0100550,1970,Alabama,1,10,Etowah County,55,550,Etowah,94144,,,,,,,
G0100570,1970,Alabama,1,10,Fayette County,57,570,Fayette,16252,,,,,,,
G0100590,1970,Alabama,1,10,Franklin County,59,590,Franklin,23933,,,,,,,
G0100610,1970,Alabama,1,10,Geneva County,61,610,Geneva,21924,,,,,,,
G0100630,1970,Alabama,1,10,Greene County,63,630,Greene,10650,,,,,,,
G0100650,1970,Alabama,1,10,Hale County,65,650,Hale,15888,,,,,,,
G0100670,1970,Alabama,1,10,Henry County,67,670,Henry,13254,,,,,,,
G0100690,1970,Alabama,1,10,Houston County,69,690,Houston,56574,,,,,,,
G0100710,1970,Alabama,1,10,Jackson County,71,710,Jackson,39202,,,,,,,
G0100730,1970,Alabama,1,10,Jefferson County,73,730,Jefferson,644991,,,,,,,
G0100750,1970,Alabama,1,10,Lamar County,75,750,Lamar,14335,,,,,,,
G0100770,1970,Alabama,1,10,Lauderdale County,77,770,Lauderdale,68111,,,,,,,
G0100790,1970,Alabama,1,10,Lawrence County,79,790,Lawrence,27281,,,,,,,
G0100810,1970,Alabama,1,10,Lee County,81,810,Lee,61268,,,,,,,
G0100830,1970,Alabama,1,10,Limestone County,83,830,Limestone,41699,,,,,,,
G0100850,1970,Alabama,1,10,Lowndes County,85,850,Lowndes,12897,,,,,,,
G0100870,1970,Alabama,1,10,Macon County,87,870,Macon,24841,,,,,,,
G0100890,1970,Alabama,1,10,Madison County,89,890,Madison,186540,,,,,,,
G0100910,1970,Alabama,1,10,Marengo County,91,910,Marengo,23819,,,,,,,
G0100930,1970,Alabama,1,10,Marion County,93,930,Marion,23788,,,,,,,
G0100950,1970,Alabama,1,10,Marshall County,95,950,Marshall,54211,,,,,,,
G0100970,1970,Alabama,1,10,Mobile County,97,970,Mobile,317308,,,,,,,
G0100990,1970,Alabama,1,10,Monroe County,99,990,Monroe,20883,,,,,,,
G0101010,1970,Alabama,1,10,Montgomery County,101,1010,Montgomery,167790,,,,,,,
G0101030,1970,Alabama,1,10,Morgan County,103,1030,Morgan,77306,,,,,,,
G0101050,1970,Alabama,1,10,Perry County,105,1050,Perry,15388,,,,,,,
G0101070,1970,Alabama,1,10,Pickens County,107,1070,Pickens,20326,,,,,,,
G0101090,1970,Alabama,1,10,Pike County,109,1090,Pike,25038,,,,,,,
G0101110,1970,Alabama,1,10,Randolph County,111,1110,Randolph,18331,,,,,,,
G0101130,1970,Alabama,1,10,Russell County,113,1130,Russell,45394,,,,,,,
G0101150,1970,Alabama,1,10,St. Clair County,115,1150,St Clair,27956,,,,,,,
G0101170,1970,Alabama,1,10,Shelby County,117,1170,Shelby,38037,,,,,,,
G0101190,1970,Alabama,1,10,Sumter County,119,1190,Sumter,16974,,,,,,,
G0101210,1970,Alabama,1,10,Talladega County,121,1210,Talladega,65280,,,,,,,
G0101230,1970,Alabama,1,10,Tallapoosa County,123,1230,Tallapoosa,33840,,,,,,,
G0101250,1970,Alabama,1,10,Tuscaloosa County,125,1250,Tuscaloosa,116029,,,,,,,
G0101270,1970,Alabama,1,10,Walker County,127,1270,Walker,56246,,,,,,,
G0101290,1970,Alabama,1,10,Washington County,129,1290,Washington,16241,,,,,,,
G0101310,1970,Alabama,1,10,Wilcox County,131,1310,Wilcox,16303,,,,,,,
G0101330,1970,Alabama,1,10,Winston County,133,1330,Winston,16654,,,,,,,
G0200100,1970,Alaska,2,20,Aleutian Islands,10,100,Aleutian Islands,8057,,,,,,,
G0200200,1970,Alaska,2,20,Anchorage Municipality,20,200,Anchorage,124542,,,,,,,
G0200300,1970,Alaska,2,20,Angoon,30,300,Angoon,503,,,,,,,
G0200400,1970,Alaska,2,20,Barrow,40,400,Barrow,2663,,,,,,,
G0200500,1970,Alaska,2,20,Bethel Census Area,50,500,Bethel,7579,,,,,,,
G0200600,1970,Alaska,2,20,Bristol Bay Borough,60,600,Bristol Bay Borough,1147,,,,,,,
G0200700,1970,Alaska,2,20,Dillingham Census Area,70,700,Bristol Bay Division,3485,,,,,,,
G0200800,1970,Alaska,2,20,Cordova-McCarthy,80,800,Cordova-Mc Carthy,1857,,,,,,,
G0200900,1970,Alaska,2,20,Fairbanks North Star Borough,90,900,Fairbanks,45864,,,,,,,
G0201000,1970,Alaska,2,20,Haines Borough,100,1000,Haines,1504,,,,,,,
G0201100,1970,Alaska,2,20,Juneau City and Borough,110,1100,Juneau,13556,,,,,,,
G0201200,1970,Alaska,2,20,Kenai-Cook Inlet,120,1200,Kenai-Cook Inlet,14250,,,,,,,
G0201300,1970,Alaska,2,20,Ketchikan Gateway Borough,130,1300,Ketchikan,10041,,,,,,,
G0201400,1970,Alaska,2,20,Kobuk,140,1400,Kobuk,4434,,,,,,,
G0201500,1970,Alaska,2,20,Kodiak Island Borough,150,1500,Kodiak,9409,,,,,,,
G0201600,1970,Alaska,2,20,Kuskokwim,160,1600,Kuskokwim,2306,,,,,,,
G0201700,1970,Alaska,2,20,Matanuska-Susitna Borough,170,1700,Matanuska-Susitna,6509,,,,,,,
G0201800,1970,Alaska,2,20,Nome Census Area,180,1800,Nome,5749,,,,,,,
G0201900,1970,Alaska,2,20,Outer Ketchikan,190,1900,Outer Ketchikan,1676,,,,,,,
G0202000,1970,Alaska,2,20,Prince Of Wales,200,2000,Prince Of Wales,2106,,,,,,,
G0202100,1970,Alaska,2,20,Seward,210,2100,Seward,2336,,,,,,,
G0202200,1970,Alaska,2,20,Sitka City and Borough,220,2200,Sitka,6109,,,,,,,
G0202300,1970,Alaska,2,20,Skagway Municipality,230,2300,Skagway-Yakutat,2157,,,,,,,
G0202400,1970,Alaska,2,20,Southeast Fairbanks Census Area,240,2400,Southeast Fairbanks,4179,,,,,,,
G0202500,1970,Alaska,2,20,Upper Yukon,250,2500,Upper Yukon,1684,,,,,,,
G0202600,1970,Alaska,2,20,Valdez-Chitina-Whittier,260,2600,Valdez-Chitina-Whittier,3098,,,,,,,
G0202700,1970,Alaska,2,20,Wade Hampton Census Area,270,2700,Wade Hampton,3917,,,,,,,
G0202800,1970,Alaska,2,20,Wrangell-Petersburg,280,2800,Wrangell-Petersburg,4913,,,,,,,
G0202900,1970,Alaska,2,20,Yukon-Koyukuk Census Area,290,2900,Yukon-Koyukuk,4752,,,,,,,
G0400010,1970,Arizona,4,40,Apache County,1,10,Apache,32298,,,,,,,
G0400030,1970,Arizona,4,40,Cochise County,3,30,Cochise,61910,,,,,,,
G0400050,1970,Arizona,4,40,Coconino County,5,50,Coconino,48326,,,,,,,
G0400070,1970,Arizona,4,40,Gila County,7,70,Gila,29255,,,,,,,
G0400090,1970,Arizona,4,40,Graham County,9,90,Graham,16578,,,,,,,
G0400110,1970,Arizona,4,40,Greenlee County,11,110,Greenlee,10330,,,,,,,
G0400130,1970,Arizona,4,40,Maricopa County,13,130,Maricopa,967522,,,,,,,
G0400150,1970,Arizona,4,40,Mohave County,15,150,Mohave,25857,,,,,,,
G0400170,1970,Arizona,4,40,Navajo County,17,170,Navajo,47715,,,,,,,
G0400190,1970,Arizona,4,40,Pima County,19,190,Pima,351667,,,,,,,
G0400210,1970,Arizona,4,40,Pinal County,21,210,Pinal,67916,,,,,,,
G0400230,1970,Arizona,4,40,Santa Cruz County,23,230,Santa Cruz,13966,,,,,,,
G0400250,1970,Arizona,4,40,Yavapai County,25,250,Yavapai,36733,,,,,,,
G0400270,1970,Arizona,4,40,Yuma County,27,270,Yuma,60827,,,,,,,
G0500010,1970,Arkansas,5,50,Arkansas County,1,10,Arkansas,23347,,,,,,,
G0500030,1970,Arkansas,5,50,Ashley County,3,30,Ashley,24976,,,,,,,
G0500050,1970,Arkansas,5,50,Baxter County,5,50,Baxter,15319,,,,,,,
G0500070,1970,Arkansas,5,50,Benton County,7,70,Benton,50476,,,,,,,
G0500090,1970,Arkansas,5,50,Boone County,9,90,Boone,19073,,,,,,,
G0500110,1970,Arkansas,5,50,Bradley County,11,110,Bradley,12778,,,,,,,
G0500130,1970,Arkansas,5,50,Calhoun County,13,130,Calhoun,5573,,,,,,,
G0500150,1970,Arkansas,5,50,Carroll County,15,150,Carroll,12301,,,,,,,
G0500170,1970,Arkansas,5,50,Chicot County,17,170,Chicot,18164,,,,,,,
G0500190,1970,Arkansas,5,50,Clark County,19,190,Clark,21537,,,,,,,
G0500210,1970,Arkansas,5,50,Clay County,21,210,Clay,18771,,,,,,,
G0500230,1970,Arkansas,5,50,Cleburne County,23,230,Cleburne,10349,,,,,,,
G0500250,1970,Arkansas,5,50,Cleveland County,25,250,Cleveland,6605,,,,,,,
G0500270,1970,Arkansas,5,50,Columbia County,27,270,Columbia,25952,,,,,,,
G0500290,1970,Arkansas,5,50,Conway County,29,290,Conway,16805,,,,,,,
G0500310,1970,Arkansas,5,50,Craighead County,31,310,Craighead,52068,,,,,,,
G0500330,1970,Arkansas,5,50,Crawford County,33,330,Crawford,25677,,,,,,,
G0500350,1970,Arkansas,5,50,Crittenden County,35,350,Crittenden,48106,,,,,,,
G0500370,1970,Arkansas,5,50,Cross County,37,370,Cross,19783,,,,,,,
G0500390,1970,Arkansas,5,50,Dallas County,39,390,Dallas,10022,,,,,,,
G0500410,1970,Arkansas,5,50,Desha County,41,410,Desha,18761,,,,,,,
G0500430,1970,Arkansas,5,50,Drew County,43,430,Drew,15157,,,,,,,
G0500450,1970,Arkansas,5,50,Faulkner County,45,450,Faulkner,31572,,,,,,,
G0500470,1970,Arkansas,5,50,Franklin County,47,470,Franklin,11301,,,,,,,
G0500490,1970,Arkansas,5,50,Fulton County,49,490,Fulton,7699,,,,,,,
G0500510,1970,Arkansas,5,50,Garland County,51,510,Garland,54131,,,,,,,
