gisjoin,year,state,county,total_households,total_families,agg_fam_incom,agg_unrel_incom,agg_prop_val,mean_pro_value,mean_fam_incom,mean_hous_incom,mean_hous_incom_2,mean_hous_incom_3,sum_agg_incom
G0100010,1970,Alabama,Autauga County,6796,5962,49252650,2589200,50958750,7498.344614479105,8261.09527004361,7247.299882283696,7628.288699234844,380.9888169511477,51841850
G0100030,1970,Alabama,Baldwin County,17721,15044,124650800,9502550,137579750,7763.656114214774,8285.74847115129,7034.0725692681,7570.3035946052705,536.2310253371705,134153350
G0100050,1970,Alabama,Barbour County,6814,5622,37247650,2950600,36382250,5339.338127384796,6625.337958022056,5466.341356031699,5899.361608453185,433.02025242148517,40198250
G0100070,1970,Alabama,Bibb County,4020,3433,21980900,1224850,14806500,3683.208955223881,6402.825517040489,5467.885572139304,5772.574626865671,304.68905472636817,23205750
G0100090,1970,Alabama,Blount County,8442,7428,50522750,2367900,31124750,3686.8929163705284,6801.662627894453,5984.68964700308,6265.18005212035,280.49040511727077,52890650
G0100110,1970,Alabama,Bullock County,3336,2654,14281800,1466450,11000250,3297.4370503597124,5381.235870384326,4281.115107913669,4720.698441247003,439.5833333333333,15748250
G0100130,1970,Alabama,Butler County,6669,5492,35488450,2387600,25708000,3854.850802219223,6461.844501092498,5321.405008247113,5679.419703103914,358.01469485680013,37876050
G0100150,1970,Alabama,Calhoun County,30657,25948,214959050,24508550,209556750,6835.526959585087,8284.224217666102,7011.744462928532,7811.188309358385,799.4438464298529,239467600
G0100170,1970,Alabama,Chambers County,11208,9427,71780200,4624400,67190750,5994.892041399001,7614.320568579612,6404.371877230549,6816.970021413276,412.5981441827266,76404600
G0100190,1970,Alabama,Cherokee County,4879,4275,28736400,1389050,21695500,4446.710391473663,6721.964912280701,5889.813486370158,6174.513219922115,284.69973355195737,30125450
G0100210,1970,Alabama,Chilton County,8019,6766,44629500,3794200,32622750,4068.181818181818,6596.142477091339,5565.469509913954,6038.620775657812,473.15126574385835,48423700
G0100230,1970,Alabama,Choctaw County,4674,3974,26051300,1587450,21162250,4527.65297389816,6555.435329642677,5573.662815575524,5913.296961916988,339.6341463414634,27638750
G0100250,1970,Alabama,Clarke County,7608,6488,46082950,2867900,42464250,5581.526025236593,7102.797472256473,6057.170084121977,6434.128548895899,376.9584647739222,48950850
G0100270,1970,Alabama,Clay County,3948,3352,21428300,1175050,12778250,3236.6388044579535,6392.690930787589,5427.634245187437,5725.265957446809,297.63171225937185,22603350
G0100290,1970,Alabama,Cleburne County,3366,2995,19780750,938800,12651000,3758.4670231729056,6604.590984974959,5876.633986928105,6155.540701128936,278.90671420083186,20719550
G0100310,1970,Alabama,Coffee County,10667,9330,74049300,4877000,71175750,6672.518046311053,7936.688102893891,6941.90494047061,7399.109402831162,457.20446236055125,78926300
G0100330,1970,Alabama,Colbert County,15049,13073,108204450,6042300,124161500,8250.481759585355,8276.941023483516,7190.1422021396775,7591.6506080138215,401.50840587414444,114246750
G0100350,1970,Alabama,Conecuh County,4665,3813,23394350,1971800,15761750,3378.7245444801715,6135.418305795961,5014.86602357985,5437.545551982851,422.6795284030011,25366150
G0100370,1970,Alabama,Coosa County,3144,2734,19478850,945300,10336500,3287.6908396946565,7124.6708119970735,6195.562977099236,6496.230916030534,300.6679389312977,20424150
G0100390,1970,Alabama,Covington County,11208,9265,63920950,4390550,56010000,4997.323340471092,6899.185105234755,5703.1539971448965,6094.887580299785,391.73358315488935,68311500
G0100410,1970,Alabama,Crenshaw County,4226,3523,20349950,1251850,12525000,2963.795551348793,5776.3128015895545,4815.4164694746805,5111.642214860388,296.2257453857075,21601800
G0100430,1970,Alabama,Cullman County,16220,14242,98835450,6125750,76103000,4691.923551171393,6939.717034124421,6093.430949445129,6471.097410604192,377.66646115906286,104961200
G0100450,1970,Alabama,Dale County,13909,12417,99139450,28987650,66208750,4760.137321158962,7984.170894741081,7127.719462218707,9211.812495506507,2084.0930332877992,128127100
G0100470,1970,Alabama,Dallas County,15611,12814,93104400,10097750,82133250,5261.242072897316,7265.834243795848,5964.025366728589,6610.86093139453,646.8355646659406,103202150
G0100490,1970,Alabama,DeKalb County,13501,11771,71450950,3920650,52807750,3911.3954521887267,6070.083255458329,5292.270942893119,5582.667950522184,290.3970076290645,75371600
G0100510,1970,Alabama,Elmore County,9643,8210,63219400,4460100,62241250,6454.552525147776,7700.292326431181,6555.988800165924,7018.51083687649,462.52203671056725,67679500
G0100530,1970,Alabama,Escambia County,9963,8325,60100300,4668650,59741250,5996.311352002409,7219.255255255255,6032.349693867309,6500.948509485095,468.5988156177858,64768950
G0100550,1970,Alabama,Etowah County,30241,25625,212473550,14408650,225609750,7460.393174828875,8291.650731707317,7026.009391223835,7502.4701564101715,476.4607651863364,226882200
G0100570,1970,Alabama,Fayette County,5223,4463,29163800,1497400,21853000,4183.99387325292,6534.573157069236,5583.72582806816,5870.419299253303,286.69347118514264,30661200
G0100590,1970,Alabama,Franklin County,7698,6651,45465700,2311300,35906250,4664.360872954014,6835.919410614945,5906.1704338789295,6206.4172512340865,300.2468173551572,47777000
G0100610,1970,Alabama,Geneva County,7059,6002,40888800,2643700,32724250,4635.819521178637,6812.529156947684,5792.435189120272,6166.949992916844,374.51480379657175,43532500
G0100630,1970,Alabama,Greene County,2947,2355,11730000,1106050,10627000,3606.0400407193756,4980.891719745223,3980.3189684424838,4355.632846963013,375.31387852052933,12836050
G0100650,1970,Alabama,Hale County,4277,3539,18772900,1312000,14898500,3483.39957914426,5304.577564283696,4389.268178629881,4696.0252513444,306.7570727145195,20084900
G0100670,1970,Alabama,Henry County,4103,3466,21146100,1018150,19908500,4852.18133073361,6101.009809578765,5153.814282232513,5401.961979039727,248.14769680721423,22164250
G0100690,1970,Alabama,Houston County,17600,14896,128776550,8765900,142213250,8080.298295454545,8645.042293233082,7316.849431818182,7814.911931818182,498.0625,137542450
G0100710,1970,Alabama,Jackson County,12014,10551,75014750,3591050,54249000,4515.481937739304,7109.7289356459105,6243.944564674546,6542.850008323622,298.90544364907606,78605800
G0100730,1970,Alabama,Jefferson County,203629,166466,1667651500,165908600,1998889750,9816.331416448542,10017.970636646522,8189.656188460386,9004.415382877685,814.7591944172981,1833560100
G0100750,1970,Alabama,Lamar County,4672,3962,23137200,1430350,16897500,3616.759417808219,5839.777889954568,4952.311643835616,5258.465325342466,306.1536815068493,24567550
G0100770,1970,Alabama,Lauderdale County,20779,18007,152216150,10459350,181318750,8726.057558111555,8453.165435663908,7325.480051975553,7828.841618942201,503.36156696664904,162675500
G0100790,1970,Alabama,Lawrence County,7808,6928,47492800,1853900,32103500,4111.616290983607,6855.196304849885,6082.581967213115,6320.017930327869,237.4359631147541,49346700
G0100810,1970,Alabama,Lee County,17391,14004,123796750,17138150,119064750,6846.34293600138,8840.099257355041,7118.437697659709,8103.898568224944,985.4608705652349,140934900
G0100830,1970,Alabama,Limestone County,12040,10578,84809700,4455950,70209250,5831.3330564784055,8017.555303460012,7043.995016611296,7414.090531561462,370.0955149501661,89265650
G0100850,1970,Alabama,Lowndes County,3100,2602,14431500,980450,8917000,2876.451612903226,5546.31053036126,4655.322580645161,4971.596774193548,316.2741935483871,15411950
G0100870,1970,Alabama,Macon County,6457,4991,33349750,6953800,35952750,5568.026947498838,6681.977559607293,5164.8985597026485,6241.838315006969,1076.939755304321,40303550
G0100890,1970,Alabama,Madison County,53150,46764,537841250,48404350,628497250,11824.97177798683,11501.181464374306,10119.308560677327,11030.020696142992,910.7121354656632,586245600
G0100910,1970,Alabama,Marengo County,6741,5535,36177000,2657500,33949000,5036.196410028186,6536.043360433604,5366.711170449488,5760.940513276962,394.22934282747366,38834500
G0100930,1970,Alabama,Marion County,7708,6698,44173250,1996500,32908250,4269.362999481059,6594.99104210212,5730.831603528802,5989.848209652309,259.01660612350804,46169750
G0100950,1970,Alabama,Marshall County,17111,14799,111700950,6274550,106339750,6214.701069487464,7547.871477802554,6528.019987142774,6894.716848810706,366.6968616679329,117975500
G0100970,1970,Alabama,Mobile County,91769,76880,703698200,63976100,842455250,9180.17249833822,9153.20239334027,7668.1471956761,8365.290021684883,697.1428260087829,767674300
G0100990,1970,Alabama,Monroe County,5932,5017,33730550,1819800,27711750,4671.569453809845,6723.250946780945,5686.201955495617,5992.978759271747,306.77680377612944,35550350
G0101010,1970,Alabama,Montgomery County,50689,41144,399555200,46190550,517005000,10199.550198267869,9711.141357184522,7882.483379036872,8793.737300005918,911.2539209690466,445745750
G0101030,1970,Alabama,Morgan County,23520,20431,190352950,10786050,204266000,8684.778911564626,9316.86897361852,8093.237670068027,8551.828231292517,458.5905612244898,201139000
G0101050,1970,Alabama,Perry County,4192,3398,20473400,2278300,13640250,3253.87643129771,6025.1324308416715,4883.92175572519,5427.409351145038,543.4875954198474,22751700
G0101070,1970,Alabama,Pickens County,5946,4972,31591850,1822150,25431500,4277.077026572486,6353.952131938858,5313.126471577531,5619.57618567104,306.44971409350825,33414000
G0101090,1970,Alabama,Pike County,7445,5962,44809600,4828200,34258750,4601.578240429819,7515.867158671586,6018.75083948959,6667.266621893888,648.5157824042982,49637800
G0101110,1970,Alabama,Randolph County,5887,4960,32819350,2185950,20581250,3496.050620010192,6616.804435483871,5574.885340580941,5946.203499235604,371.3181586546628,35005300
G0101130,1970,Alabama,Russell County,13058,11027,77536800,5500550,70262250,5380.781896155613,7031.540763580303,5937.8771634247205,6359.117016388421,421.2398529637004,83037350
G0101150,1970,Alabama,St. Clair County,8312,7273,53099950,2252100,42397250,5100.727863330125,7300.9693386498,6388.348171318576,6659.2937921077955,270.9456207892204,55352050
G0101170,1970,Alabama,Shelby County,11125,9573,80803500,6287450,60552000,5442.876404494382,8440.770918207458,7263.23595505618,7828.4,565.1640449438203,87090950
G0101190,1970,Alabama,Sumter County,4660,3723,21428850,3680150,18330000,3933.4763948497853,5755.8017727639,4598.465665236052,5388.197424892704,789.7317596566523,25109000
G0101210,1970,Alabama,Talladega County,18861,16041,126552300,8803250,115790750,6139.162822755951,7889.302412567795,6709.734372514713,7176.477917395684,466.74354488097134,135355550
G0101230,1970,Alabama,Tallapoosa County,10458,8826,65459750,3854450,55161500,5274.57448842991,7416.694992068888,6259.299101166571,6627.863836297572,368.5647351310002,69314200
