exposure,outcome,variable,estimate,std_error,lci,uci,estimate_10,lci_10,uci_10
perc_black,nox_energy_relat_chg,cb_nox_energy_black,-1.7428943309470109,0.3291155552441141,-2.3879608192254747,-1.097827842668547,-17.428943309470107,-23.879608192254747,-10.97827842668547
perc_nativ,nh3_agric_relat_chg,cb_data_master_nativ,0.0328225668710351,0.017718057570068356,-0.0019048259662988731,0.06754995970836908,0.328225668710351,-0.01904825966298873,0.6754995970836908
perc_asian,nox_energy_relat_chg,cb_nox_energy_asian,1.8522786413033334,0.5666764584463939,0.7415927827484015,2.9629644998582654,18.522786413033334,7.415927827484015,29.629644998582656
perc_nativ,nox_trans_relat_chg,cb_data_master_nativ,-0.013324912800295427,0.009877981142618357,-0.032685755839827406,0.006035930239236554,-0.13324912800295427,-0.3268575583982741,0.060359302392365546
perc_black,oc_resid_relat_chg,cb_data_master_black,-0.03688549418513242,0.008893351943413065,-0.05431646399422203,-0.019454524376042812,-0.3688549418513242,-0.5431646399422203,-0.19454524376042812
perc_hisp_org,so2_energy_relat_chg,cb_so2_energy_hisp,0.42391087373802705,0.35694462750515293,-0.27570059617207265,1.1235223436481268,4.2391087373802705,-2.7570059617207265,11.235223436481267
perc_asian,so2_energy_relat_chg,cb_so2_energy_asian,-0.49832394259812746,0.9124592505619039,-2.286744073699459,1.2900961885032043,-4.9832394259812745,-22.867440736994592,12.900961885032043
perc_black,so2_indus_relat_chg,cb_so2_inds_black,-0.13464739159410916,0.0381579556502199,-0.20943698466854016,-0.05985779851967815,-1.3464739159410914,-2.0943698466854017,-0.5985779851967815
perc_nativ,nox_energy_relat_chg,cb_nox_energy_nativ,1.1784301784537987,0.38771686677268696,0.41850511957933223,1.938355237328265,11.784301784537988,4.1850511957933225,19.38355237328265
perc_white,nox_energy_relat_chg,cb_nox_energy_white,-0.924872496584848,0.29417821720885773,-1.5014618023142092,-0.34828319085548687,-9.248724965848481,-15.014618023142091,-3.4828319085548687
